block_id,cell,deferred,density_ha,true_depth,n_parcels,ob_count,dd_proxy,verdict
ZAF.9.1.2_1_2865,dense-shallow,False,119.71035441110809,3,77,77,0.0212929,
ZAF.9.3.1_1_39399,sparse-shallow,True,50.85451067124838,3,122,122,0.013776,
ZAF.9.3.1_1_23615,dense-deep,False,136.2615504406074,5,231,231,0.0463308,
ZAF.9.3.1_1_40760,sparse-shallow,True,58.63101381801023,3,74,74,0.0115492,
ZAF.9.3.1_1_20856,sparse-deep,False,21.398122729047355,6,149,149,0.00547231,no-dense-informal
ZAF.9.3.1_1_53959,sparse-deep,False,27.1470445431916,5,156,156,0.00777953,no-dense-informal
ZAF.9.3.1_1_43860,sparse-deep,False,57.94243012370957,7,285,285,0.0240139,
ZAF.9.3.1_1_21708,sparse-deep,False,84.12625438505367,8,337,337,0.0355517,
ZAF.9.3.1_1_34552,sparse-shallow,False,3.9966763666477134,2,69,67,0.000370335,
ZAF.9.3.1_1_5721,dense-shallow,False,118.6479529014882,2,47,47,0.0179795,
ZAF.9.3.1_1_38563,dense-shallow,False,98.54812868878692,3,107,107,0.0191699,
ZAF.9.3.1_1_30829,dense-shallow,False,113.86999964140342,3,67,67,0.0183444,
ZAF.9.3.1_1_30700,dense-deep,False,175.02529936259424,7,601,601,0.0798739,
ZAF.9.3.1_1_30677,dense-deep,False,198.6610599294205,9,683,683,0.102762,
ZAF.9.3.1_1_19138,sparse-shallow,True,55.58118313212778,2,39,39,0.00772123,
ZAF.9.3.1_1_15703,sparse-shallow,False,37.112930715807735,3,72,72,0.00801933,no-dense-informal
ZAF.9.1.4_1_2698,dense-shallow,False,158.37824330006652,2,67,67,0.0257161,
ZAF.9.3.1_1_38985,dense-deep,False,165.8565960099914,7,232,232,0.0624282,
ZAF.9.3.1_1_40094,sparse-shallow,True,69.56679715689208,3,41,41,0.0100911,
ZAF.9.3.1_1_21829,sparse-deep,False,83.65912291615373,6,215,215,0.0310501,
ZAF.9.3.1_1_12698,sparse-shallow,False,27.243387811667347,3,55,55,0.00427867,
ZAF.9.3.1_1_30695,dense-deep,False,127.18044805480936,5,335,335,0.043673,
ZAF.9.3.1_1_20047,sparse-shallow,False,74.99861902260996,3,176,176,0.0167325,
