block_id,stratum,screen_rank,n_stratum,n_sampled,weight,dd_proxy,ob_count,area_ha,survey_cover,survey_label,place,maps,verdict,notes
ZAF.9.3.1_1_30677,top1pct,5,183,31,5.9032,0.102762,683,3.44,0.000,formal,Racing Park,"https://www.google.com/maps/@-33.80759,18.54217,18.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_1434,top1pct,10,183,31,5.9032,0.0899049,437,2.48,1.000,informal,Witsand,"https://www.google.com/maps/@-33.58519,18.50671,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_18286,top1pct,11,183,31,5.9032,0.0870921,733,4.90,0.000,formal,Delft,"https://www.google.com/maps/@-33.96737,18.64353,18.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_44798,top1pct,14,183,31,5.9032,0.0827444,453,2.89,1.000,informal,Cape Town Ward 43,"https://www.google.com/maps/@-34.03128,18.57831,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_30700,top1pct,21,183,31,5.9032,0.0798739,601,3.43,0.001,formal,Racing Park,"https://www.google.com/maps/@-33.80610,18.53779,18.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_1486,top1pct,24,183,31,5.9032,0.0784987,363,2.05,1.000,informal,Witsand,"https://www.google.com/maps/@-33.58966,18.50193,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_41782,top1pct,26,183,31,5.9032,0.0781151,200,0.83,0.000,formal,Philippi,"https://www.google.com/maps/@-34.00498,18.56865,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_42779,top1pct,27,183,31,5.9032,0.077767,378,2.33,0.000,formal,Klipfontein,"https://www.google.com/maps/@-34.01424,18.61464,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_39073,top1pct,30,183,31,5.9032,0.0770336,353,2.05,0.000,formal,Cape Town Ward 35,"https://www.google.com/maps/@-33.99878,18.59987,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_19570,top1pct,35,183,31,5.9032,0.0741233,312,1.66,1.000,informal,Delft South,"https://www.google.com/maps/@-33.98655,18.63330,19.1z/data=!3m1!1e3",,
