block_id,disputed,kb_depth_density proxy,kb_density,kb_density_compactness,kb_depth proxy,ob_depth_density proxy,ob_density,ob_density_compactness,ob_depth proxy,n_screens,kb_count,ob_count,ob_over_kb,area_ha,per_km2,ob_n,ob_median_m2,fine_depth,fine_depth_density,survey_cover,survey_label,place,maps,verdict,notes,disagreement
ZAF.9.3.1_1_5810,yes,,,,,2,,,1,2,714,6619,9.27,57.69,11472,6619,16.6,24.0,27.533,0.0,formal,Kraaifontein East,"https://www.google.com/maps/@-33.84215,18.74128,17z",,,1.0
ZAF.9.3.1_1_18286,yes,,,,,7,,,,1,75,733,9.77,4.9,14946,733,16.6,10.0,14.946,0.0,formal,Delft,"https://www.google.com/maps/@-33.96745,18.64370,17z",,,0.94
ZAF.9.3.1_1_45803,yes,,,,,,5,12,,2,100,228,2.28,0.96,23864,228,19.7,6.0,14.318,0.0,formal,Langa,"https://www.google.com/maps/@-33.94219,18.54137,17z",,,0.881
ZAF.9.3.1_1_41761,yes,,,7,,,,,,1,85,80,0.94,0.57,14141,80,38.1,4.0,5.656,1.0,informal,Philippi,"https://www.google.com/maps/@-34.00492,18.57096,17z",,,0.821
ZAF.9.3.1_1_38517,yes,12,4,15,,,,,,3,306,204,0.67,1.73,11763,204,24.1,5.0,5.881,1.0,informal,Klipfontein,"https://www.google.com/maps/@-34.00531,18.61614,17z",,,0.806
ZAF.9.3.1_1_44531,yes,,7,1,,,,,,2,69,61,0.88,0.41,15043,61,27.4,4.0,6.017,1.0,informal,Cape Town Ward 88,"https://www.google.com/maps/@-34.01554,18.58699,17z",,,0.791
ZAF.9.3.1_1_23733,yes,,,,,,15,,,1,37,73,1.97,0.33,22280,73,19.7,3.0,6.684,1.0,informal,Nomzamo,"https://www.google.com/maps/@-34.12115,18.85458,17z",,,0.776
ZAF.9.3.1_1_42407,yes,,,14,,,,,,1,110,113,1.03,0.83,13611,113,26.4,5.0,6.806,1.0,informal,Sweet Home,"https://www.google.com/maps/@-34.00811,18.56228,17z",,,0.761
ZAF.9.3.1_1_39368,yes,,,6,,,,,,1,91,104,1.14,0.6,17242,104,24.1,4.0,6.897,1.0,informal,Cape Town Ward 88,"https://www.google.com/maps/@-34.00814,18.59927,17z",,,0.746
ZAF.9.3.1_1_42779,yes,,,13,,,,,,1,331,378,1.14,2.33,16240,378,26.0,8.0,12.992,0.0,formal,Klipfontein,"https://www.google.com/maps/@-34.01423,18.61464,17z",,,0.746
ZAF.9.3.1_1_38449,yes,3,,,14,,,,,2,655,445,0.68,4.29,10372,445,22.0,7.0,7.26,1.0,informal,Klipfontein,"https://www.google.com/maps/@-34.00238,18.61442,17z",,,0.731
ZAF.9.3.1_1_41784,yes,,9,,,,,,,1,221,286,1.29,1.35,21133,286,19.9,6.0,12.68,0.0,formal,Philippi,"https://www.google.com/maps/@-34.00329,18.56848,17z",,,0.731
ZAF.9.3.1_1_21255,yes,10,,,9,,,,,2,1019,837,0.82,9.22,9079,837,29.3,9.0,8.171,0.982,informal,Barnet Molokwana Corner,"https://www.google.com/maps/@-34.02095,18.67236,17z",,,0.716
ZAF.9.3.1_1_23482,yes,,,,,,1,,,1,47,126,2.68,0.45,27975,126,19.5,3.0,8.393,1.0,informal,Nomzamo,"https://www.google.com/maps/@-34.11270,18.86385,17z",,,0.687
ZAF.9.3.1_1_38988,yes,,,,6,,,,,1,1534,1387,0.9,17.53,7914,1387,21.8,11.0,8.705,0.632,informal,Klipfontein,"https://www.google.com/maps/@-34.00143,18.60992,17z",,,0.672
ZAF.9.3.1_1_41781,yes,,6,,,,,,,1,211,255,1.21,1.23,20656,255,21.2,6.0,12.394,0.111,formal,Philippi,"https://www.google.com/maps/@-34.00438,18.56895,17z",,,0.672
ZAF.9.3.1_1_44553,yes,,10,,,,,,,1,212,232,1.09,1.31,17702,232,26.5,5.0,8.851,1.0,informal,Cape Town Ward 88,"https://www.google.com/maps/@-34.01607,18.58563,17z",,,0.627
ZAF.9.3.1_1_46298,yes,,,,,,14,2,,2,40,86,2.15,0.39,22294,86,15.9,4.0,8.918,1.0,informal,Langa,"https://www.google.com/maps/@-33.95166,18.53531,17z",,,0.597
