method,block,road_length_m,displacement
topology,ZAF.9.3.1_1_40972,0.0000,0.0000
topology,ZAF.9.3.1_1_40972,46.4547,10.1607
topology,ZAF.9.3.1_1_40972,93.0138,16.6818
topology,ZAF.9.3.1_1_40972,132.6874,23.5690
topology,ZAF.9.3.1_1_40972,186.3218,27.2670
topology,ZAF.9.3.1_1_40972,230.3718,34.2005
topology,ZAF.9.3.1_1_40972,277.8173,44.0399
topology,ZAF.9.3.1_1_40972,325.5598,54.6226
topology,ZAF.9.3.1_1_40972,370.2785,64.7201
topology,ZAF.9.3.1_1_40972,419.7152,75.0108
topology,ZAF.9.3.1_1_40972,460.2152,81.5164
topology,ZAF.9.3.1_1_40972,510.8552,89.9203
topology,ZAF.9.3.1_1_40972,559.1894,101.1042
topology,ZAF.9.3.1_1_40972,602.8293,108.1876
topology,ZAF.9.3.1_1_40972,652.9739,116.4347
topology,ZAF.9.3.1_1_40972,698.6801,121.9710
topology,ZAF.9.3.1_1_40972,745.5237,127.1696
topology,ZAF.9.3.1_1_40972,792.8665,140.4930
topology,ZAF.9.3.1_1_40972,839.3031,151.3561
topology,ZAF.9.3.1_1_40972,886.6008,158.7942
topology,ZAF.9.3.1_1_40972,934.0630,160.2425
clearance,ZAF.9.3.1_1_40972,0.0000,0.0000
clearance,ZAF.9.3.1_1_40972,51.4973,8.8512
clearance,ZAF.9.3.1_1_40972,89.4325,16.2826
clearance,ZAF.9.3.1_1_40972,113.0997,22.4649
clearance,ZAF.9.3.1_1_40972,142.9694,26.9309
clearance,ZAF.9.3.1_1_40972,174.4302,31.9783
clearance,ZAF.9.3.1_1_40972,213.2781,37.5381
clearance,ZAF.9.3.1_1_40972,237.1811,40.8253
clearance,ZAF.9.3.1_1_40972,253.7483,43.4603
clearance,ZAF.9.3.1_1_40972,278.5768,45.8804
clearance,ZAF.9.3.1_1_40972,298.7501,49.3594
clearance,ZAF.9.3.1_1_40972,320.8058,55.4376
clearance,ZAF.9.3.1_1_40972,348.2380,57.8539
clearance,ZAF.9.3.1_1_40972,383.9671,67.6171
clearance,ZAF.9.3.1_1_40972,407.0451,71.2317
clearance,ZAF.9.3.1_1_40972,426.3936,75.9789
clearance,ZAF.9.3.1_1_40972,453.3708,81.8563
clearance,ZAF.9.3.1_1_40972,486.1163,87.7880
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0000,0.0000
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,34.5453,7.1126
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,66.9614,14.8979
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,93.3876,19.2926
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,183.4539,30.1839
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,221.5630,34.3017
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,295.8994,42.6765
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,347.3204,52.0884
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,406.8192,56.8675
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,453.7249,64.0359
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,476.5038,65.8927
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,513.9658,67.9585
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,541.6293,68.0073
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,594.3805,71.7755
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,630.0688,72.9873
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,663.0814,73.1440
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,702.9858,74.6201
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0.0000
osm_footpaths,ZAF.9.3.1_1_40972,74.0685,2.3861
osm_footpaths,ZAF.9.3.1_1_40972,120.1303,11.4212
osm_footpaths,ZAF.9.3.1_1_40972,161.1203,16.2794
osm_footpaths,ZAF.9.3.1_1_40972,200.9621,24.3197
osm_footpaths,ZAF.9.3.1_1_40972,273.5467,33.6591
osm_footpaths,ZAF.9.3.1_1_40972,387.8944,41.7279
osm_footpaths,ZAF.9.3.1_1_40972,415.9595,49.7180
osm_footpaths,ZAF.9.3.1_1_40972,465.5438,56.7249
osm_footpaths,ZAF.9.3.1_1_40972,493.2486,60.6307
osm_footpaths,ZAF.9.3.1_1_40972,552.1301,64.3995
osm_footpaths,ZAF.9.3.1_1_40972,603.3318,70.2049
osm_footpaths,ZAF.9.3.1_1_40972,639.3280,74.6934
