method,block,road_density_m_per_ha,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0.0000
topology,ZAF.9.3.1_1_40972,30.8599,0.1755
topology,ZAF.9.3.1_1_40972,61.7890,0.4543
topology,ZAF.9.3.1_1_40972,88.1442,0.5159
topology,ZAF.9.3.1_1_40972,123.7736,0.5577
topology,ZAF.9.3.1_1_40972,153.0360,0.6130
topology,ZAF.9.3.1_1_40972,184.5540,0.6629
topology,ZAF.9.3.1_1_40972,216.2693,0.7248
topology,ZAF.9.3.1_1_40972,245.9759,0.7599
topology,ZAF.9.3.1_1_40972,278.8168,0.7861
topology,ZAF.9.3.1_1_40972,305.7209,0.8095
topology,ZAF.9.3.1_1_40972,339.3610,0.8305
topology,ZAF.9.3.1_1_40972,371.4694,0.8447
topology,ZAF.9.3.1_1_40972,400.4594,0.8552
topology,ZAF.9.3.1_1_40972,433.7705,0.8642
topology,ZAF.9.3.1_1_40972,464.1331,0.8804
topology,ZAF.9.3.1_1_40972,495.2513,0.8912
topology,ZAF.9.3.1_1_40972,526.7011,0.9020
topology,ZAF.9.3.1_1_40972,557.5489,0.9147
topology,ZAF.9.3.1_1_40972,588.9688,0.9210
topology,ZAF.9.3.1_1_40972,620.4979,0.9210
clearance,ZAF.9.3.1_1_40972,0.0000,0.0000
clearance,ZAF.9.3.1_1_40972,34.2097,0.3531
clearance,ZAF.9.3.1_1_40972,59.4100,0.5240
clearance,ZAF.9.3.1_1_40972,75.1321,0.5625
clearance,ZAF.9.3.1_1_40972,94.9745,0.5941
clearance,ZAF.9.3.1_1_40972,115.8739,0.6412
clearance,ZAF.9.3.1_1_40972,141.6806,0.6776
clearance,ZAF.9.3.1_1_40972,157.5594,0.7004
clearance,ZAF.9.3.1_1_40972,168.5649,0.7085
clearance,ZAF.9.3.1_1_40972,185.0585,0.7311
clearance,ZAF.9.3.1_1_40972,198.4597,0.7587
clearance,ZAF.9.3.1_1_40972,213.1113,0.7707
clearance,ZAF.9.3.1_1_40972,231.3344,0.7788
clearance,ZAF.9.3.1_1_40972,255.0693,0.7924
clearance,ZAF.9.3.1_1_40972,270.4000,0.8005
clearance,ZAF.9.3.1_1_40972,283.2532,0.8071
clearance,ZAF.9.3.1_1_40972,301.1742,0.8164
clearance,ZAF.9.3.1_1_40972,322.9270,0.8272
greedy_arterial_buildable,ZAF.9.3.1_1_40972,0.0000,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_40972,65.7839,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_40972,88.6750,0.5538
greedy_arterial_buildable,ZAF.9.3.1_1_40972,106.2299,0.5877
greedy_arterial_buildable,ZAF.9.3.1_1_40972,140.6527,0.6578
greedy_arterial_buildable,ZAF.9.3.1_1_40972,153.8490,0.6683
greedy_arterial_buildable,ZAF.9.3.1_1_40972,177.3856,0.7136
greedy_arterial_buildable,ZAF.9.3.1_1_40972,189.9733,0.7145
greedy_arterial_buildable,ZAF.9.3.1_1_40972,206.5085,0.7311
greedy_arterial_buildable,ZAF.9.3.1_1_40972,237.6850,0.7467
greedy_arterial_buildable,ZAF.9.3.1_1_40972,247.3931,0.7602
greedy_arterial_buildable,ZAF.9.3.1_1_40972,266.6790,0.7644
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0.0000
osm_footpaths,ZAF.9.3.1_1_40972,49.2037,0.3194
osm_footpaths,ZAF.9.3.1_1_40972,79.8025,0.3194
osm_footpaths,ZAF.9.3.1_1_40972,107.0322,0.5048
osm_footpaths,ZAF.9.3.1_1_40972,133.4991,0.6151
osm_footpaths,ZAF.9.3.1_1_40972,181.7170,0.6815
osm_footpaths,ZAF.9.3.1_1_40972,257.6782,0.7127
osm_footpaths,ZAF.9.3.1_1_40972,276.3218,0.7127
osm_footpaths,ZAF.9.3.1_1_40972,309.2606,0.7251
osm_footpaths,ZAF.9.3.1_1_40972,327.6650,0.7395
osm_footpaths,ZAF.9.3.1_1_40972,366.7799,0.7554
osm_footpaths,ZAF.9.3.1_1_40972,400.7932,0.7608
osm_footpaths,ZAF.9.3.1_1_40972,424.7055,0.7608
