method,block,road_length_m,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0.0032
topology,ZAF.9.3.1_1_40972,46.4547,0.0042
topology,ZAF.9.3.1_1_40972,93.0138,0.0051
topology,ZAF.9.3.1_1_40972,132.6874,0.0068
topology,ZAF.9.3.1_1_40972,186.3218,0.0084
topology,ZAF.9.3.1_1_40972,230.3718,0.0096
topology,ZAF.9.3.1_1_40972,277.8173,0.0109
topology,ZAF.9.3.1_1_40972,325.5598,0.0121
topology,ZAF.9.3.1_1_40972,370.2785,0.0159
topology,ZAF.9.3.1_1_40972,419.7152,0.0195
topology,ZAF.9.3.1_1_40972,460.2152,0.0275
topology,ZAF.9.3.1_1_40972,510.8552,0.0297
topology,ZAF.9.3.1_1_40972,559.1894,0.0332
topology,ZAF.9.3.1_1_40972,602.8293,0.0381
topology,ZAF.9.3.1_1_40972,652.9739,0.0438
topology,ZAF.9.3.1_1_40972,698.6801,0.0619
topology,ZAF.9.3.1_1_40972,745.5237,0.0639
topology,ZAF.9.3.1_1_40972,792.8665,0.0760
topology,ZAF.9.3.1_1_40972,839.3031,0.1040
topology,ZAF.9.3.1_1_40972,886.6008,0.1101
topology,ZAF.9.3.1_1_40972,934.0630,0.1212
clearance,ZAF.9.3.1_1_40972,0.0000,0.0052
clearance,ZAF.9.3.1_1_40972,51.4973,0.0052
clearance,ZAF.9.3.1_1_40972,89.4325,0.0052
clearance,ZAF.9.3.1_1_40972,113.0997,0.0052
clearance,ZAF.9.3.1_1_40972,142.9694,0.0121
clearance,ZAF.9.3.1_1_40972,174.4302,0.0190
clearance,ZAF.9.3.1_1_40972,213.2781,0.0208
clearance,ZAF.9.3.1_1_40972,237.1811,0.0231
clearance,ZAF.9.3.1_1_40972,253.7483,0.0240
clearance,ZAF.9.3.1_1_40972,278.5768,0.0255
clearance,ZAF.9.3.1_1_40972,298.7501,0.0318
clearance,ZAF.9.3.1_1_40972,320.8058,0.0331
clearance,ZAF.9.3.1_1_40972,348.2380,0.0347
clearance,ZAF.9.3.1_1_40972,383.9671,0.0369
clearance,ZAF.9.3.1_1_40972,407.0451,0.0369
clearance,ZAF.9.3.1_1_40972,426.3936,0.0378
clearance,ZAF.9.3.1_1_40972,453.3708,0.0485
clearance,ZAF.9.3.1_1_40972,486.1163,0.0533
greedy_arterial_buildable,ZAF.9.3.1_1_40972,0.0000,0.0170
greedy_arterial_buildable,ZAF.9.3.1_1_40972,99.0274,0.0232
greedy_arterial_buildable,ZAF.9.3.1_1_40972,133.4864,0.0508
greedy_arterial_buildable,ZAF.9.3.1_1_40972,159.9126,0.0626
greedy_arterial_buildable,ZAF.9.3.1_1_40972,211.7307,0.0790
greedy_arterial_buildable,ZAF.9.3.1_1_40972,231.5958,0.0871
greedy_arterial_buildable,ZAF.9.3.1_1_40972,267.0265,0.1002
greedy_arterial_buildable,ZAF.9.3.1_1_40972,285.9752,0.1057
greedy_arterial_buildable,ZAF.9.3.1_1_40972,310.8664,0.1303
greedy_arterial_buildable,ZAF.9.3.1_1_40972,357.7978,0.1973
greedy_arterial_buildable,ZAF.9.3.1_1_40972,372.4118,0.2254
greedy_arterial_buildable,ZAF.9.3.1_1_40972,401.4437,0.2566
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0.0142
osm_footpaths,ZAF.9.3.1_1_40972,74.0685,0.0142
osm_footpaths,ZAF.9.3.1_1_40972,120.1303,0.0148
osm_footpaths,ZAF.9.3.1_1_40972,161.1203,0.0152
osm_footpaths,ZAF.9.3.1_1_40972,200.9621,0.0173
osm_footpaths,ZAF.9.3.1_1_40972,273.5467,0.0200
osm_footpaths,ZAF.9.3.1_1_40972,387.8944,0.0416
osm_footpaths,ZAF.9.3.1_1_40972,415.9595,0.0416
osm_footpaths,ZAF.9.3.1_1_40972,465.5438,0.0547
osm_footpaths,ZAF.9.3.1_1_40972,493.2486,0.0595
osm_footpaths,ZAF.9.3.1_1_40972,552.1301,0.0643
osm_footpaths,ZAF.9.3.1_1_40972,603.3318,0.0685
osm_footpaths,ZAF.9.3.1_1_40972,639.3280,0.0690
