method,block,road_density_m_per_ha,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0.0001
topology,ZAF.9.3.1_1_40972,30.8599,0.0002
topology,ZAF.9.3.1_1_40972,61.7890,0.0002
topology,ZAF.9.3.1_1_40972,88.1442,0.0003
topology,ZAF.9.3.1_1_40972,123.7736,0.0004
topology,ZAF.9.3.1_1_40972,153.0360,0.0004
topology,ZAF.9.3.1_1_40972,184.5540,0.0005
topology,ZAF.9.3.1_1_40972,216.2693,0.0005
topology,ZAF.9.3.1_1_40972,245.9759,0.0006
topology,ZAF.9.3.1_1_40972,278.8168,0.0007
topology,ZAF.9.3.1_1_40972,305.7209,0.0010
topology,ZAF.9.3.1_1_40972,339.3610,0.0011
topology,ZAF.9.3.1_1_40972,371.4694,0.0013
topology,ZAF.9.3.1_1_40972,400.4594,0.0014
topology,ZAF.9.3.1_1_40972,433.7705,0.0018
topology,ZAF.9.3.1_1_40972,464.1331,0.0023
topology,ZAF.9.3.1_1_40972,495.2513,0.0024
topology,ZAF.9.3.1_1_40972,526.7011,0.0028
topology,ZAF.9.3.1_1_40972,557.5489,0.0037
topology,ZAF.9.3.1_1_40972,588.9688,0.0039
topology,ZAF.9.3.1_1_40972,620.4979,0.0043
clearance,ZAF.9.3.1_1_40972,0.0000,0.0001
clearance,ZAF.9.3.1_1_40972,34.2097,0.0001
clearance,ZAF.9.3.1_1_40972,59.4100,0.0001
clearance,ZAF.9.3.1_1_40972,75.1321,0.0001
clearance,ZAF.9.3.1_1_40972,94.9745,0.0003
clearance,ZAF.9.3.1_1_40972,115.8739,0.0006
clearance,ZAF.9.3.1_1_40972,141.6806,0.0007
clearance,ZAF.9.3.1_1_40972,157.5594,0.0007
clearance,ZAF.9.3.1_1_40972,168.5649,0.0008
clearance,ZAF.9.3.1_1_40972,185.0585,0.0009
clearance,ZAF.9.3.1_1_40972,198.4597,0.0011
clearance,ZAF.9.3.1_1_40972,213.1113,0.0012
clearance,ZAF.9.3.1_1_40972,231.3344,0.0013
clearance,ZAF.9.3.1_1_40972,255.0693,0.0014
clearance,ZAF.9.3.1_1_40972,270.4000,0.0014
clearance,ZAF.9.3.1_1_40972,283.2532,0.0015
clearance,ZAF.9.3.1_1_40972,301.1742,0.0019
clearance,ZAF.9.3.1_1_40972,322.9270,0.0021
greedy_arterial_buildable,ZAF.9.3.1_1_40972,0.0000,0.0003
greedy_arterial_buildable,ZAF.9.3.1_1_40972,65.7839,0.0006
greedy_arterial_buildable,ZAF.9.3.1_1_40972,88.6750,0.0012
greedy_arterial_buildable,ZAF.9.3.1_1_40972,106.2299,0.0014
greedy_arterial_buildable,ZAF.9.3.1_1_40972,140.6527,0.0019
greedy_arterial_buildable,ZAF.9.3.1_1_40972,153.8490,0.0021
greedy_arterial_buildable,ZAF.9.3.1_1_40972,177.3856,0.0024
greedy_arterial_buildable,ZAF.9.3.1_1_40972,189.9733,0.0025
greedy_arterial_buildable,ZAF.9.3.1_1_40972,206.5085,0.0029
greedy_arterial_buildable,ZAF.9.3.1_1_40972,237.6850,0.0045
greedy_arterial_buildable,ZAF.9.3.1_1_40972,247.3931,0.0051
greedy_arterial_buildable,ZAF.9.3.1_1_40972,266.6790,0.0059
dream_come_true,ZAF.9.3.1_1_40972,0.0000,0.0003
dream_come_true,ZAF.9.3.1_1_40972,49.2037,0.0003
dream_come_true,ZAF.9.3.1_1_40972,79.8025,0.0003
dream_come_true,ZAF.9.3.1_1_40972,107.0322,0.0003
dream_come_true,ZAF.9.3.1_1_40972,133.4991,0.0005
dream_come_true,ZAF.9.3.1_1_40972,181.7170,0.0006
dream_come_true,ZAF.9.3.1_1_40972,257.6782,0.0011
dream_come_true,ZAF.9.3.1_1_40972,276.3218,0.0011
dream_come_true,ZAF.9.3.1_1_40972,309.2606,0.0014
dream_come_true,ZAF.9.3.1_1_40972,327.6650,0.0015
dream_come_true,ZAF.9.3.1_1_40972,366.7799,0.0016
dream_come_true,ZAF.9.3.1_1_40972,400.7932,0.0017
dream_come_true,ZAF.9.3.1_1_40972,424.7055,0.0017
