method,block,road_length_m,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0
topology,ZAF.9.3.1_1_40972,46.4547,0.175481
topology,ZAF.9.3.1_1_40972,93.0138,0.454327
topology,ZAF.9.3.1_1_40972,132.6874,0.515925
topology,ZAF.9.3.1_1_40972,186.3218,0.557692
topology,ZAF.9.3.1_1_40972,230.3718,0.612981
topology,ZAF.9.3.1_1_40972,277.8173,0.662861
topology,ZAF.9.3.1_1_40972,325.5598,0.72476
topology,ZAF.9.3.1_1_40972,370.2785,0.759916
topology,ZAF.9.3.1_1_40972,419.7152,0.786058
topology,ZAF.9.3.1_1_40972,460.2152,0.809495
topology,ZAF.9.3.1_1_40972,510.8552,0.830529
topology,ZAF.9.3.1_1_40972,559.1894,0.844651
topology,ZAF.9.3.1_1_40972,602.8293,0.855168
topology,ZAF.9.3.1_1_40972,652.9739,0.864183
topology,ZAF.9.3.1_1_40972,698.6801,0.880409
topology,ZAF.9.3.1_1_40972,745.5237,0.891226
topology,ZAF.9.3.1_1_40972,792.8665,0.902043
topology,ZAF.9.3.1_1_40972,839.3031,0.914663
topology,ZAF.9.3.1_1_40972,886.6008,0.920974
topology,ZAF.9.3.1_1_40972,934.0630,0.920974
clearance,ZAF.9.3.1_1_40972,0.0000,0
clearance,ZAF.9.3.1_1_40972,51.4973,0.353065
clearance,ZAF.9.3.1_1_40972,89.4325,0.524038
clearance,ZAF.9.3.1_1_40972,113.0997,0.5625
clearance,ZAF.9.3.1_1_40972,142.9694,0.59405
clearance,ZAF.9.3.1_1_40972,174.4302,0.641226
clearance,ZAF.9.3.1_1_40972,213.2781,0.677584
clearance,ZAF.9.3.1_1_40972,237.1811,0.700421
clearance,ZAF.9.3.1_1_40972,253.7483,0.708534
clearance,ZAF.9.3.1_1_40972,278.5768,0.73107
clearance,ZAF.9.3.1_1_40972,298.7501,0.758714
clearance,ZAF.9.3.1_1_40972,320.8058,0.770733
clearance,ZAF.9.3.1_1_40972,348.2380,0.778846
clearance,ZAF.9.3.1_1_40972,383.9671,0.792368
clearance,ZAF.9.3.1_1_40972,407.0451,0.800481
clearance,ZAF.9.3.1_1_40972,426.3936,0.807091
clearance,ZAF.9.3.1_1_40972,453.3708,0.816406
clearance,ZAF.9.3.1_1_40972,486.1163,0.827224
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,34.5453,0.151142
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,66.9614,0.151142
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,93.3876,0.250601
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,183.4539,0.250601
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,221.5630,0.405048
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,295.8994,0.677284
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,347.3204,0.6872
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,406.8192,0.75
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,453.7249,0.769832
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,476.5038,0.769832
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,513.9658,0.778245
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,541.6293,0.798077
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,594.3805,0.824519
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,630.0688,0.838341
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,663.0814,0.840144
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,702.9858,0.840144
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0
osm_footpaths,ZAF.9.3.1_1_40972,74.0685,0.319411
osm_footpaths,ZAF.9.3.1_1_40972,120.1303,0.319411
osm_footpaths,ZAF.9.3.1_1_40972,161.1203,0.504808
osm_footpaths,ZAF.9.3.1_1_40972,200.9621,0.615084
osm_footpaths,ZAF.9.3.1_1_40972,273.5467,0.68149
osm_footpaths,ZAF.9.3.1_1_40972,387.8944,0.71274
osm_footpaths,ZAF.9.3.1_1_40972,415.9595,0.71274
osm_footpaths,ZAF.9.3.1_1_40972,465.5438,0.72506
osm_footpaths,ZAF.9.3.1_1_40972,493.2486,0.739483
osm_footpaths,ZAF.9.3.1_1_40972,552.1301,0.755409
osm_footpaths,ZAF.9.3.1_1_40972,603.3318,0.760817
osm_footpaths,ZAF.9.3.1_1_40972,639.3280,0.760817
