method,block,road_length_m,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0
topology,ZAF.9.3.1_1_40972,46.4547,1.15348e-15
topology,ZAF.9.3.1_1_40972,93.0138,5.60834e-15
topology,ZAF.9.3.1_1_40972,132.6874,8.95651e-15
topology,ZAF.9.3.1_1_40972,186.3218,7.49782e-15
topology,ZAF.9.3.1_1_40972,230.3718,2.69798e-15
topology,ZAF.9.3.1_1_40972,277.8173,3.88224e-16
topology,ZAF.9.3.1_1_40972,325.5598,3.8176e-15
topology,ZAF.9.3.1_1_40972,370.2785,7.18999e-15
topology,ZAF.9.3.1_1_40972,419.7152,9.47135e-15
topology,ZAF.9.3.1_1_40972,460.2152,2.42834e-15
topology,ZAF.9.3.1_1_40972,510.8552,1.05324e-14
topology,ZAF.9.3.1_1_40972,559.1894,4.27091e-15
topology,ZAF.9.3.1_1_40972,602.8293,3.16517e-15
topology,ZAF.9.3.1_1_40972,652.9739,3.38929e-15
topology,ZAF.9.3.1_1_40972,698.6801,3.00531e-15
topology,ZAF.9.3.1_1_40972,745.5237,5.41309e-15
topology,ZAF.9.3.1_1_40972,792.8665,1.12356e-14
topology,ZAF.9.3.1_1_40972,839.3031,1.46549e-16
topology,ZAF.9.3.1_1_40972,886.6008,1.25695e-16
topology,ZAF.9.3.1_1_40972,934.0630,0.0371105
clearance,ZAF.9.3.1_1_40972,0.0000,0
clearance,ZAF.9.3.1_1_40972,51.4973,0
clearance,ZAF.9.3.1_1_40972,89.4325,2.09356e-16
clearance,ZAF.9.3.1_1_40972,113.0997,0
clearance,ZAF.9.3.1_1_40972,142.9694,4.02345e-16
clearance,ZAF.9.3.1_1_40972,174.4302,4.11534e-16
clearance,ZAF.9.3.1_1_40972,213.2781,1.18424e-17
clearance,ZAF.9.3.1_1_40972,237.1811,2.87849e-15
clearance,ZAF.9.3.1_1_40972,253.7483,2.73666e-15
clearance,ZAF.9.3.1_1_40972,278.5768,6.11445e-15
clearance,ZAF.9.3.1_1_40972,298.7501,1.83877e-15
clearance,ZAF.9.3.1_1_40972,320.8058,1.42468e-15
clearance,ZAF.9.3.1_1_40972,348.2380,3.91018e-16
clearance,ZAF.9.3.1_1_40972,383.9671,3.11215e-15
clearance,ZAF.9.3.1_1_40972,407.0451,3.04911e-15
clearance,ZAF.9.3.1_1_40972,426.3936,2.54026e-15
clearance,ZAF.9.3.1_1_40972,453.3708,2.80194e-15
clearance,ZAF.9.3.1_1_40972,486.1163,2.66876e-15
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,34.5453,8.28525e-17
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,66.9614,8.67362e-17
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,93.3876,1.22873e-15
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,183.4539,1.6518e-15
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,221.5630,2.86405e-16
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,295.8994,1.27052e-14
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,347.3204,6.35457e-15
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,406.8192,5.5458e-14
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,453.7249,5.47725e-14
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,476.5038,0.120364
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,513.9658,0.116039
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,541.6293,0.157748
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,594.3805,0.159182
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,630.0688,0.230233
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,663.0814,0.34933
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,702.9858,0.468039
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0
osm_footpaths,ZAF.9.3.1_1_40972,74.0685,2.02324e-15
osm_footpaths,ZAF.9.3.1_1_40972,120.1303,1.98812e-15
osm_footpaths,ZAF.9.3.1_1_40972,161.1203,9.13582e-16
osm_footpaths,ZAF.9.3.1_1_40972,200.9621,5.86727e-16
osm_footpaths,ZAF.9.3.1_1_40972,273.5467,1.48476e-15
osm_footpaths,ZAF.9.3.1_1_40972,387.8944,0.331949
osm_footpaths,ZAF.9.3.1_1_40972,415.9595,0.301676
osm_footpaths,ZAF.9.3.1_1_40972,465.5438,0.289799
osm_footpaths,ZAF.9.3.1_1_40972,493.2486,0.284396
osm_footpaths,ZAF.9.3.1_1_40972,552.1301,0.321489
osm_footpaths,ZAF.9.3.1_1_40972,603.3318,0.326505
osm_footpaths,ZAF.9.3.1_1_40972,639.3280,0.32661
