method,block,displacement,permeability
topology,ZAF.9.3.1_1_40972,0.0000,0
topology,ZAF.9.3.1_1_40972,0.0386,0.223305
topology,ZAF.9.3.1_1_40972,0.0634,0.361418
topology,ZAF.9.3.1_1_40972,0.0896,0.376413
topology,ZAF.9.3.1_1_40972,0.1037,0.389856
topology,ZAF.9.3.1_1_40972,0.1300,0.475569
topology,ZAF.9.3.1_1_40972,0.1675,0.543666
topology,ZAF.9.3.1_1_40972,0.2077,0.558038
topology,ZAF.9.3.1_1_40972,0.2461,0.571907
topology,ZAF.9.3.1_1_40972,0.2852,0.607029
topology,ZAF.9.3.1_1_40972,0.3099,0.61962
topology,ZAF.9.3.1_1_40972,0.3419,0.666201
topology,ZAF.9.3.1_1_40972,0.3844,0.685416
topology,ZAF.9.3.1_1_40972,0.4114,0.692126
topology,ZAF.9.3.1_1_40972,0.4427,0.701782
topology,ZAF.9.3.1_1_40972,0.4638,0.708975
topology,ZAF.9.3.1_1_40972,0.4835,0.724176
topology,ZAF.9.3.1_1_40972,0.5342,0.747753
topology,ZAF.9.3.1_1_40972,0.5755,0.755445
topology,ZAF.9.3.1_1_40972,0.6038,0.788831
topology,ZAF.9.3.1_1_40972,0.6093,0.792384
clearance,ZAF.9.3.1_1_40972,0.0000,0
clearance,ZAF.9.3.1_1_40972,0.0337,0.222098
clearance,ZAF.9.3.1_1_40972,0.0619,0.233111
clearance,ZAF.9.3.1_1_40972,0.0854,0.249931
clearance,ZAF.9.3.1_1_40972,0.1024,0.273224
clearance,ZAF.9.3.1_1_40972,0.1216,0.281765
clearance,ZAF.9.3.1_1_40972,0.1427,0.332186
clearance,ZAF.9.3.1_1_40972,0.1552,0.340962
clearance,ZAF.9.3.1_1_40972,0.1652,0.363164
clearance,ZAF.9.3.1_1_40972,0.1745,0.368821
clearance,ZAF.9.3.1_1_40972,0.1877,0.380299
clearance,ZAF.9.3.1_1_40972,0.2108,0.505993
clearance,ZAF.9.3.1_1_40972,0.2200,0.527353
clearance,ZAF.9.3.1_1_40972,0.2571,0.565036
clearance,ZAF.9.3.1_1_40972,0.2708,0.653393
clearance,ZAF.9.3.1_1_40972,0.2889,0.670643
clearance,ZAF.9.3.1_1_40972,0.3112,0.673515
clearance,ZAF.9.3.1_1_40972,0.3338,0.723074
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0270,0.147551
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0566,0.299117
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.0734,0.355442
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.1148,0.535196
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.1304,0.587704
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.1623,0.619215
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.1981,0.677721
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2162,0.690179
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2435,0.725004
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2505,0.730529
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2584,0.748455
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2586,0.75089
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2729,0.760276
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2775,0.761537
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2781,0.769207
greedy_arterial_repulsion,ZAF.9.3.1_1_40972,0.2837,0.769346
clearance_looped,ZAF.9.3.1_1_40972,0.0000,0
clearance_looped,ZAF.9.3.1_1_40972,0.0337,0.222098
clearance_looped,ZAF.9.3.1_1_40972,0.0918,0.376975
clearance_looped,ZAF.9.3.1_1_40972,0.1436,0.491627
clearance_looped,ZAF.9.3.1_1_40972,0.1927,0.61816
clearance_looped,ZAF.9.3.1_1_40972,0.2156,0.664321
clearance_looped,ZAF.9.3.1_1_40972,0.2451,0.69992
clearance_looped,ZAF.9.3.1_1_40972,0.3009,0.744747
clearance_looped,ZAF.9.3.1_1_40972,0.3334,0.768784
clearance_looped,ZAF.9.3.1_1_40972,0.3710,0.786532
clearance_looped,ZAF.9.3.1_1_40972,0.4303,0.805028
clearance_looped,ZAF.9.3.1_1_40972,0.4478,0.825134
clearance_looped,ZAF.9.3.1_1_40972,0.4996,0.840161
clearance_looped,ZAF.9.3.1_1_40972,0.5377,0.860202
clearance_looped,ZAF.9.3.1_1_40972,0.5841,0.87979
clearance_looped,ZAF.9.3.1_1_40972,0.6141,0.889936
clearance_looped,ZAF.9.3.1_1_40972,0.6581,0.898734
clearance_looped,ZAF.9.3.1_1_40972,0.6988,0.90958
clearance_looped,ZAF.9.3.1_1_40972,0.7226,0.916572
clearance_looped,ZAF.9.3.1_1_40972,0.7616,0.923117
clearance_looped,ZAF.9.3.1_1_40972,0.7718,0.924631
euclidean_grid,ZAF.9.3.1_1_40972,0.0000,0
euclidean_grid,ZAF.9.3.1_1_40972,0.0323,0.0930378
euclidean_grid,ZAF.9.3.1_1_40972,0.0725,0.312299
euclidean_grid,ZAF.9.3.1_1_40972,0.1310,0.521094
euclidean_grid,ZAF.9.3.1_1_40972,0.1675,0.607468
euclidean_grid,ZAF.9.3.1_1_40972,0.2425,0.707147
euclidean_grid,ZAF.9.3.1_1_40972,0.2764,0.720379
euclidean_grid,ZAF.9.3.1_1_40972,0.3349,0.785913
euclidean_grid,ZAF.9.3.1_1_40972,0.3931,0.81141
euclidean_grid,ZAF.9.3.1_1_40972,0.4243,0.834321
osm_footpaths,ZAF.9.3.1_1_40972,0.0000,0
osm_footpaths,ZAF.9.3.1_1_40972,0.0091,0.190913
osm_footpaths,ZAF.9.3.1_1_40972,0.0434,0.335384
osm_footpaths,ZAF.9.3.1_1_40972,0.0619,0.410825
osm_footpaths,ZAF.9.3.1_1_40972,0.0925,0.533521
osm_footpaths,ZAF.9.3.1_1_40972,0.1280,0.58123
osm_footpaths,ZAF.9.3.1_1_40972,0.1587,0.683626
osm_footpaths,ZAF.9.3.1_1_40972,0.1890,0.715871
osm_footpaths,ZAF.9.3.1_1_40972,0.2157,0.736973
osm_footpaths,ZAF.9.3.1_1_40972,0.2305,0.738592
osm_footpaths,ZAF.9.3.1_1_40972,0.2449,0.756951
osm_footpaths,ZAF.9.3.1_1_40972,0.2669,0.761654
osm_footpaths,ZAF.9.3.1_1_40972,0.2840,0.801714
