method,block,road_density_m_per_ha,benefit
topology,ZAF.9.3.1_1_40972,0.0000,0.0000
topology,ZAF.9.3.1_1_40972,30.8599,0.0350
topology,ZAF.9.3.1_1_40972,61.7890,0.0563
topology,ZAF.9.3.1_1_40972,88.1442,0.0676
topology,ZAF.9.3.1_1_40972,123.7736,0.0854
topology,ZAF.9.3.1_1_40972,153.0360,0.1104
topology,ZAF.9.3.1_1_40972,184.5540,0.1476
topology,ZAF.9.3.1_1_40972,216.2693,0.1729
topology,ZAF.9.3.1_1_40972,245.9759,0.1921
topology,ZAF.9.3.1_1_40972,278.8168,0.2133
topology,ZAF.9.3.1_1_40972,305.7209,0.2294
topology,ZAF.9.3.1_1_40972,339.3610,0.2582
topology,ZAF.9.3.1_1_40972,371.4694,0.2830
topology,ZAF.9.3.1_1_40972,400.4594,0.3236
topology,ZAF.9.3.1_1_40972,433.7705,0.3689
topology,ZAF.9.3.1_1_40972,464.1331,0.4045
topology,ZAF.9.3.1_1_40972,495.2513,0.4679
topology,ZAF.9.3.1_1_40972,526.7011,0.5169
topology,ZAF.9.3.1_1_40972,557.5489,0.5596
topology,ZAF.9.3.1_1_40972,588.9688,0.5986
topology,ZAF.9.3.1_1_40972,620.4979,0.6256
clearance,ZAF.9.3.1_1_40972,0.0000,0.0000
clearance,ZAF.9.3.1_1_40972,34.2097,0.0520
clearance,ZAF.9.3.1_1_40972,59.4100,0.0799
clearance,ZAF.9.3.1_1_40972,75.1321,0.0958
clearance,ZAF.9.3.1_1_40972,94.9745,0.1098
clearance,ZAF.9.3.1_1_40972,115.8739,0.1305
clearance,ZAF.9.3.1_1_40972,141.6806,0.1712
clearance,ZAF.9.3.1_1_40972,157.5594,0.1873
clearance,ZAF.9.3.1_1_40972,168.5649,0.2111
clearance,ZAF.9.3.1_1_40972,185.0585,0.2272
clearance,ZAF.9.3.1_1_40972,198.4597,0.2385
clearance,ZAF.9.3.1_1_40972,213.1113,0.2660
clearance,ZAF.9.3.1_1_40972,231.3344,0.2786
clearance,ZAF.9.3.1_1_40972,255.0693,0.3245
clearance,ZAF.9.3.1_1_40972,270.4000,0.3438
clearance,ZAF.9.3.1_1_40972,283.2532,0.3634
clearance,ZAF.9.3.1_1_40972,301.1742,0.3859
clearance,ZAF.9.3.1_1_40972,322.9270,0.4253
greedy_arterial_buildable,ZAF.9.3.1_1_40972,0.0000,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_40972,65.7839,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_40972,88.6750,0.0950
greedy_arterial_buildable,ZAF.9.3.1_1_40972,106.2299,0.1152
greedy_arterial_buildable,ZAF.9.3.1_1_40972,140.6527,0.1600
greedy_arterial_buildable,ZAF.9.3.1_1_40972,153.8490,0.1807
greedy_arterial_buildable,ZAF.9.3.1_1_40972,177.3856,0.2227
greedy_arterial_buildable,ZAF.9.3.1_1_40972,189.9733,0.2309
greedy_arterial_buildable,ZAF.9.3.1_1_40972,206.5085,0.2554
greedy_arterial_buildable,ZAF.9.3.1_1_40972,237.6850,0.3306
greedy_arterial_buildable,ZAF.9.3.1_1_40972,247.3931,0.3620
greedy_arterial_buildable,ZAF.9.3.1_1_40972,266.6790,0.3894
dream_come_true,ZAF.9.3.1_1_40972,0.0000,0.0000
dream_come_true,ZAF.9.3.1_1_40972,49.2037,0.0274
dream_come_true,ZAF.9.3.1_1_40972,79.8025,0.0274
dream_come_true,ZAF.9.3.1_1_40972,107.0322,0.0763
dream_come_true,ZAF.9.3.1_1_40972,133.4991,0.1105
dream_come_true,ZAF.9.3.1_1_40972,181.7170,0.1418
dream_come_true,ZAF.9.3.1_1_40972,257.6782,0.2297
dream_come_true,ZAF.9.3.1_1_40972,276.3218,0.2576
dream_come_true,ZAF.9.3.1_1_40972,309.2606,0.2934
dream_come_true,ZAF.9.3.1_1_40972,327.6650,0.3021
dream_come_true,ZAF.9.3.1_1_40972,366.7799,0.3371
dream_come_true,ZAF.9.3.1_1_40972,400.7932,0.3651
dream_come_true,ZAF.9.3.1_1_40972,424.7055,0.3651
