method,block,road_density_m_per_ha,benefit
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,0.0000,0.0000
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,12.3295,0.6903
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,25.5015,0.8257
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,39.0348,0.8708
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,51.8515,0.8970
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,64.7271,0.9150
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,77.9173,0.9260
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,90.8815,0.9335
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,103.8642,0.9394
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,117.0680,0.9446
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,130.0518,0.9486
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,143.1948,0.9523
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,156.1805,0.9551
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,169.1683,0.9575
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,182.2035,0.9600
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,195.0227,0.9622
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,208.2222,0.9642
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,221.2509,0.9659
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,234.3023,0.9675
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,247.2931,0.9690
clearance,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,260.3862,0.9704
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,0.0000,0.0000
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,6.9909,0.2244
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,9.3571,0.2279
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,13.0224,0.3486
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,16.5927,0.3559
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,18.1737,0.4013
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,22.0011,0.4016
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,23.9166,0.4761
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,27.4099,0.4849
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,29.8123,0.4906
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,31.7373,0.4973
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,35.8032,0.4979
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,38.8602,0.5004
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,42.7104,0.5014
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,46.5281,0.5045
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,49.5070,0.5813
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,51.7232,0.5817
greedy_arterial_buildable,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,55.5266,0.5819
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,0.0000,0.0000
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,6.6517,0.0000
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,11.3978,0.0000
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,12.7356,0.0000
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,17.9967,0.0020
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,19.6719,0.0039
dream_come_true,ZAF.9.3.1_1_5378+ZAF.9.3.1_1_5379+ZAF.9.3.1_1_5513+ZAF.9.3.1...663d08ec,23.9737,0.0039
