method,block,road_length_m,benefit
clearance,ZAF.9.3.1_1_44531,0.0000,0
clearance,ZAF.9.3.1_1_44531,194.7055,0.136498
clearance,ZAF.9.3.1_1_44531,353.6455,0.235363
clearance,ZAF.9.3.1_1_44531,586.2930,0.304845
clearance,ZAF.9.3.1_1_44531,803.4723,0.361842
clearance,ZAF.9.3.1_1_44531,1003.1982,0.394406
clearance,ZAF.9.3.1_1_44531,1203.0485,0.427427
clearance,ZAF.9.3.1_1_44531,1405.0828,0.457625
clearance,ZAF.9.3.1_1_44531,1583.7528,0.484106
clearance,ZAF.9.3.1_1_44531,1816.2388,0.516849
clearance,ZAF.9.3.1_1_44531,1998.0952,0.536331
clearance,ZAF.9.3.1_1_44531,2203.9046,0.556947
clearance,ZAF.9.3.1_1_44531,2402.3857,0.573885
clearance,ZAF.9.3.1_1_44531,2613.9017,0.590127
clearance,ZAF.9.3.1_1_44531,2795.3346,0.60623
clearance,ZAF.9.3.1_1_44531,3000.7277,0.619212
clearance,ZAF.9.3.1_1_44531,3209.0076,0.630842
clearance,ZAF.9.3.1_1_44531,3418.1603,0.643347
clearance,ZAF.9.3.1_1_44531,3627.0565,0.656806
clearance,ZAF.9.3.1_1_44531,3831.6449,0.669848
clearance,ZAF.9.3.1_1_44531,4037.8138,0.68279
greedy_arterial_buildable,ZAF.9.3.1_1_44531,0.0000,0
greedy_arterial_buildable,ZAF.9.3.1_1_44531,164.3388,0.0999185
greedy_arterial_buildable,ZAF.9.3.1_1_44531,373.8841,0.144033
greedy_arterial_buildable,ZAF.9.3.1_1_44531,552.8582,0.158665
greedy_arterial_buildable,ZAF.9.3.1_1_44531,732.8453,0.172999
greedy_arterial_buildable,ZAF.9.3.1_1_44531,830.0446,0.183018
greedy_arterial_buildable,ZAF.9.3.1_1_44531,917.6094,0.189181
greedy_arterial_buildable,ZAF.9.3.1_1_44531,991.4185,0.196915
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1055.5913,0.200155
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1136.1853,0.207232
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1214.3997,0.21264
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1316.9749,0.217849
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1401.3625,0.221825
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1487.4376,0.226616
greedy_arterial_buildable,ZAF.9.3.1_1_44531,1576.0210,0.226954
clearance_looped,ZAF.9.3.1_1_44531,0.0000,0
clearance_looped,ZAF.9.3.1_1_44531,248.5277,0.169082
clearance_looped,ZAF.9.3.1_1_44531,499.6232,0.270671
clearance_looped,ZAF.9.3.1_1_44531,760.4252,0.329914
clearance_looped,ZAF.9.3.1_1_44531,1045.0637,0.3887
clearance_looped,ZAF.9.3.1_1_44531,1289.4496,0.426353
clearance_looped,ZAF.9.3.1_1_44531,1569.9361,0.467585
clearance_looped,ZAF.9.3.1_1_44531,1814.0922,0.488619
clearance_looped,ZAF.9.3.1_1_44531,2076.6791,0.51824
clearance_looped,ZAF.9.3.1_1_44531,2353.0726,0.540904
clearance_looped,ZAF.9.3.1_1_44531,2601.2913,0.568259
clearance_looped,ZAF.9.3.1_1_44531,2854.7414,0.590247
clearance_looped,ZAF.9.3.1_1_44531,3119.4588,0.611877
clearance_looped,ZAF.9.3.1_1_44531,3372.4265,0.629292
clearance_looped,ZAF.9.3.1_1_44531,3637.1642,0.647244
clearance_looped,ZAF.9.3.1_1_44531,3908.7291,0.657204
clearance_looped,ZAF.9.3.1_1_44531,4170.4198,0.670464
clearance_looped,ZAF.9.3.1_1_44531,4443.2925,0.68444
clearance_looped,ZAF.9.3.1_1_44531,4690.0595,0.693306
clearance_looped,ZAF.9.3.1_1_44531,4965.4107,0.69764
clearance_looped,ZAF.9.3.1_1_44531,5236.0887,0.700245
euclidean_grid,ZAF.9.3.1_1_44531,0.0000,0
euclidean_grid,ZAF.9.3.1_1_44531,784.2867,0.0563806
euclidean_grid,ZAF.9.3.1_1_44531,1591.4056,0.147611
euclidean_grid,ZAF.9.3.1_1_44531,2423.1655,0.192004
euclidean_grid,ZAF.9.3.1_1_44531,3183.0479,0.199559
euclidean_grid,ZAF.9.3.1_1_44531,3969.9057,0.23254
euclidean_grid,ZAF.9.3.1_1_44531,4860.6691,0.354466
euclidean_grid,ZAF.9.3.1_1_44531,5645.3100,0.422516
euclidean_grid,ZAF.9.3.1_1_44531,6531.8245,0.452854
euclidean_grid,ZAF.9.3.1_1_44531,7336.3740,0.475537
euclidean_grid,ZAF.9.3.1_1_44531,8181.7936,0.524821
euclidean_grid,ZAF.9.3.1_1_44531,8903.0836,0.598974
