method,block,road_length_m,displacement
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0000,0.0000
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,781.0949,59.4439
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,1673.7540,139.4875
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,1896.4149,165.2736
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,2414.0243,208.8517
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,3033.4110,253.1323
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4000.9117,332.7446
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4329.3609,338.0920
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4937.6450,403.4264
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,5579.9034,448.5853
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,6120.6300,499.9328
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,6855.9566,521.9815
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,7408.2399,541.6600
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,7745.1539,554.5923
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,8318.6034,571.1531
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9045.7392,589.6126
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9655.4042,611.1638
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9809.3471,612.8985
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,10858.5649,622.9528
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,11437.3590,624.3827
clearance_looped,ZAF.9.3.1_1_5810,0.0000,0.0000
clearance_looped,ZAF.9.3.1_1_5810,704.1385,62.1152
clearance_looped,ZAF.9.3.1_1_5810,1777.3077,182.4282
clearance_looped,ZAF.9.3.1_1_5810,2685.6158,264.7077
clearance_looped,ZAF.9.3.1_1_5810,3593.9845,354.2669
clearance_looped,ZAF.9.3.1_1_5810,4452.5090,458.5976
clearance_looped,ZAF.9.3.1_1_5810,5418.0518,562.0948
clearance_looped,ZAF.9.3.1_1_5810,6291.1418,665.4864
clearance_looped,ZAF.9.3.1_1_5810,7215.9559,794.9180
clearance_looped,ZAF.9.3.1_1_5810,8126.8927,902.6209
clearance_looped,ZAF.9.3.1_1_5810,8994.2602,1006.3655
clearance_looped,ZAF.9.3.1_1_5810,9916.9109,1109.0788
clearance_looped,ZAF.9.3.1_1_5810,10833.1072,1186.5024
clearance_looped,ZAF.9.3.1_1_5810,11713.9288,1287.8136
clearance_looped,ZAF.9.3.1_1_5810,12641.8431,1399.8450
clearance_looped,ZAF.9.3.1_1_5810,13540.8188,1480.4437
clearance_looped,ZAF.9.3.1_1_5810,14415.4412,1564.4719
clearance_looped,ZAF.9.3.1_1_5810,15339.8941,1665.8291
clearance_looped,ZAF.9.3.1_1_5810,16237.3528,1762.4654
clearance_looped,ZAF.9.3.1_1_5810,17137.6082,1865.7007
clearance_looped,ZAF.9.3.1_1_5810,18061.2555,1919.8282
euclidean_grid,ZAF.9.3.1_1_5810,0.0000,0.0000
euclidean_grid,ZAF.9.3.1_1_5810,247.9007,34.3938
euclidean_grid,ZAF.9.3.1_1_5810,1247.9326,156.8568
euclidean_grid,ZAF.9.3.1_1_5810,1437.9227,165.6317
euclidean_grid,ZAF.9.3.1_1_5810,2412.5145,261.8920
euclidean_grid,ZAF.9.3.1_1_5810,3211.9417,318.0445
euclidean_grid,ZAF.9.3.1_1_5810,3715.5998,362.7558
euclidean_grid,ZAF.9.3.1_1_5810,4285.0612,422.6887
euclidean_grid,ZAF.9.3.1_1_5810,4619.3709,466.7926
euclidean_grid,ZAF.9.3.1_1_5810,5678.9828,552.4644
euclidean_grid,ZAF.9.3.1_1_5810,6415.0469,642.7249
euclidean_grid,ZAF.9.3.1_1_5810,7040.9470,707.6081
euclidean_grid,ZAF.9.3.1_1_5810,7574.9116,747.6609
euclidean_grid,ZAF.9.3.1_1_5810,8362.3913,810.7262
euclidean_grid,ZAF.9.3.1_1_5810,8710.5653,828.3832
euclidean_grid,ZAF.9.3.1_1_5810,9572.6305,903.6211
euclidean_grid,ZAF.9.3.1_1_5810,10110.6104,941.2187
euclidean_grid,ZAF.9.3.1_1_5810,10860.6104,1009.8515
euclidean_grid,ZAF.9.3.1_1_5810,11455.6037,1053.1243
euclidean_grid,ZAF.9.3.1_1_5810,12193.7574,1120.7764
euclidean_grid,ZAF.9.3.1_1_5810,12874.1485,1203.7998
osm_footpaths,ZAF.9.3.1_1_5810,0.0000,0.0000
osm_footpaths,ZAF.9.3.1_1_5810,672.5250,9.2989
osm_footpaths,ZAF.9.3.1_1_5810,1287.6363,32.5470
osm_footpaths,ZAF.9.3.1_1_5810,1815.5534,62.0304
osm_footpaths,ZAF.9.3.1_1_5810,2254.3485,78.7982
osm_footpaths,ZAF.9.3.1_1_5810,3017.4089,105.2769
osm_footpaths,ZAF.9.3.1_1_5810,3445.8097,135.8790
osm_footpaths,ZAF.9.3.1_1_5810,3785.9651,154.6015
osm_footpaths,ZAF.9.3.1_1_5810,4212.3211,169.0013
osm_footpaths,ZAF.9.3.1_1_5810,4604.2271,174.6201
osm_footpaths,ZAF.9.3.1_1_5810,4782.7137,187.3670
osm_footpaths,ZAF.9.3.1_1_5810,5340.7958,205.6450
osm_footpaths,ZAF.9.3.1_1_5810,5752.1778,232.3991
osm_footpaths,ZAF.9.3.1_1_5810,5798.5308,234.5109
osm_footpaths,ZAF.9.3.1_1_5810,6521.0084,331.5912
osm_footpaths,ZAF.9.3.1_1_5810,6570.9993,332.8146
osm_footpaths,ZAF.9.3.1_1_5810,7270.0330,353.8207
osm_footpaths,ZAF.9.3.1_1_5810,7673.8874,386.9018
