method,block,road_length_m,benefit
clearance,ZAF.9.3.1_1_5810,0.0000,0
clearance,ZAF.9.3.1_1_5810,686.8885,0.588623
clearance,ZAF.9.3.1_1_5810,1372.0277,0.701632
clearance,ZAF.9.3.1_1_5810,2056.8298,0.785099
clearance,ZAF.9.3.1_1_5810,2713.6019,0.829506
clearance,ZAF.9.3.1_1_5810,3443.6106,0.855247
clearance,ZAF.9.3.1_1_5810,4147.0356,0.873373
clearance,ZAF.9.3.1_1_5810,4837.2262,0.889035
clearance,ZAF.9.3.1_1_5810,5510.4256,0.899132
clearance,ZAF.9.3.1_1_5810,6237.5427,0.910041
clearance,ZAF.9.3.1_1_5810,6926.2034,0.916631
clearance,ZAF.9.3.1_1_5810,7639.8551,0.923153
clearance,ZAF.9.3.1_1_5810,8332.9214,0.926856
clearance,ZAF.9.3.1_1_5810,8996.4833,0.93129
clearance,ZAF.9.3.1_1_5810,9701.0272,0.935114
clearance,ZAF.9.3.1_1_5810,10421.2949,0.938004
clearance,ZAF.9.3.1_1_5810,11108.7351,0.941165
clearance,ZAF.9.3.1_1_5810,11811.4646,0.943858
clearance,ZAF.9.3.1_1_5810,12509.6816,0.946246
clearance,ZAF.9.3.1_1_5810,13186.0649,0.948644
clearance,ZAF.9.3.1_1_5810,13903.3851,0.951137
greedy_arterial_buildable,ZAF.9.3.1_1_5810,0.0000,0
greedy_arterial_buildable,ZAF.9.3.1_1_5810,289.5250,0
greedy_arterial_buildable,ZAF.9.3.1_1_5810,913.6234,0.295876
greedy_arterial_buildable,ZAF.9.3.1_1_5810,1489.0475,0.295876
greedy_arterial_buildable,ZAF.9.3.1_1_5810,2015.8396,0.295876
greedy_arterial_buildable,ZAF.9.3.1_1_5810,2277.5826,0.295876
greedy_arterial_buildable,ZAF.9.3.1_1_5810,2656.1490,0.322903
greedy_arterial_buildable,ZAF.9.3.1_1_5810,3203.4062,0.50265
greedy_arterial_buildable,ZAF.9.3.1_1_5810,3644.3647,0.572575
greedy_arterial_buildable,ZAF.9.3.1_1_5810,4246.9473,0.585423
greedy_arterial_buildable,ZAF.9.3.1_1_5810,4809.4833,0.608889
greedy_arterial_buildable,ZAF.9.3.1_1_5810,5126.9083,0.615505
greedy_arterial_buildable,ZAF.9.3.1_1_5810,5326.0749,0.615557
greedy_arterial_buildable,ZAF.9.3.1_1_5810,5924.7837,0.616132
greedy_arterial_buildable,ZAF.9.3.1_1_5810,6384.6342,0.801222
greedy_arterial_buildable,ZAF.9.3.1_1_5810,6843.8369,0.801901
greedy_arterial_buildable,ZAF.9.3.1_1_5810,7020.5562,0.806314
greedy_arterial_buildable,ZAF.9.3.1_1_5810,7659.9832,0.806769
greedy_arterial_buildable,ZAF.9.3.1_1_5810,8078.0233,0.806889
clearance_looped,ZAF.9.3.1_1_5810,0.0000,0
clearance_looped,ZAF.9.3.1_1_5810,704.1385,0.45021
clearance_looped,ZAF.9.3.1_1_5810,1777.3077,0.61227
clearance_looped,ZAF.9.3.1_1_5810,2685.6158,0.664373
clearance_looped,ZAF.9.3.1_1_5810,3593.9845,0.790559
clearance_looped,ZAF.9.3.1_1_5810,4452.5090,0.837912
clearance_looped,ZAF.9.3.1_1_5810,5418.0518,0.865933
clearance_looped,ZAF.9.3.1_1_5810,6291.1418,0.895849
clearance_looped,ZAF.9.3.1_1_5810,7215.9559,0.907257
clearance_looped,ZAF.9.3.1_1_5810,8126.8927,0.916831
clearance_looped,ZAF.9.3.1_1_5810,8994.2602,0.924134
clearance_looped,ZAF.9.3.1_1_5810,9916.9109,0.930049
clearance_looped,ZAF.9.3.1_1_5810,10833.1072,0.935607
clearance_looped,ZAF.9.3.1_1_5810,11713.9288,0.939082
clearance_looped,ZAF.9.3.1_1_5810,12641.8431,0.942382
clearance_looped,ZAF.9.3.1_1_5810,13540.8188,0.945376
clearance_looped,ZAF.9.3.1_1_5810,14415.4412,0.948013
clearance_looped,ZAF.9.3.1_1_5810,15339.8941,0.950188
clearance_looped,ZAF.9.3.1_1_5810,16237.3528,0.952331
clearance_looped,ZAF.9.3.1_1_5810,17137.6082,0.953743
clearance_looped,ZAF.9.3.1_1_5810,18061.2555,0.954085
euclidean_grid,ZAF.9.3.1_1_5810,0.0000,0
euclidean_grid,ZAF.9.3.1_1_5810,2344.0102,0.0954213
euclidean_grid,ZAF.9.3.1_1_5810,4954.9131,0.619803
euclidean_grid,ZAF.9.3.1_1_5810,7474.9778,0.622678
euclidean_grid,ZAF.9.3.1_1_5810,9951.0094,0.770111
euclidean_grid,ZAF.9.3.1_1_5810,12075.6332,0.821067
euclidean_grid,ZAF.9.3.1_1_5810,14929.3865,0.875273
euclidean_grid,ZAF.9.3.1_1_5810,17442.3296,0.897214
euclidean_grid,ZAF.9.3.1_1_5810,19541.2399,0.914037
euclidean_grid,ZAF.9.3.1_1_5810,22321.5752,0.934416
euclidean_grid,ZAF.9.3.1_1_5810,24918.3343,0.941508
euclidean_grid,ZAF.9.3.1_1_5810,27379.1712,0.942836
euclidean_grid,ZAF.9.3.1_1_5810,29676.0743,0.943895
euclidean_grid,ZAF.9.3.1_1_5810,31909.1870,0.945136
euclidean_grid,ZAF.9.3.1_1_5810,34690.6315,0.948591
euclidean_grid,ZAF.9.3.1_1_5810,37359.4365,0.95078
euclidean_grid,ZAF.9.3.1_1_5810,39863.5228,0.95359
euclidean_grid,ZAF.9.3.1_1_5810,42323.5228,0.957082
euclidean_grid,ZAF.9.3.1_1_5810,44843.5228,0.960604
euclidean_grid,ZAF.9.3.1_1_5810,47299.2774,0.964233
euclidean_grid,ZAF.9.3.1_1_5810,49842.7274,0.966115
osm_footpaths,ZAF.9.3.1_1_5810,0.0000,0
osm_footpaths,ZAF.9.3.1_1_5810,672.5250,0
osm_footpaths,ZAF.9.3.1_1_5810,1287.6363,0
osm_footpaths,ZAF.9.3.1_1_5810,1815.5534,0.00291668
osm_footpaths,ZAF.9.3.1_1_5810,2254.3485,0.00477603
osm_footpaths,ZAF.9.3.1_1_5810,3017.4089,0.00862754
osm_footpaths,ZAF.9.3.1_1_5810,3445.8097,0.0100975
osm_footpaths,ZAF.9.3.1_1_5810,3785.9651,0.0102716
osm_footpaths,ZAF.9.3.1_1_5810,4212.3211,0.0105514
osm_footpaths,ZAF.9.3.1_1_5810,4604.2271,0.0105746
osm_footpaths,ZAF.9.3.1_1_5810,4782.7137,0.0106842
osm_footpaths,ZAF.9.3.1_1_5810,5340.7958,0.0106842
osm_footpaths,ZAF.9.3.1_1_5810,5752.1778,0.0263958
osm_footpaths,ZAF.9.3.1_1_5810,5798.5308,0.0264177
osm_footpaths,ZAF.9.3.1_1_5810,6521.0084,0.0265815
osm_footpaths,ZAF.9.3.1_1_5810,6570.9993,0.0265815
osm_footpaths,ZAF.9.3.1_1_5810,7270.0330,0.026802
osm_footpaths,ZAF.9.3.1_1_5810,7673.8874,0.0269258
