method,block,road_length_m,benefit
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,781.0949,0
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,1673.7540,0
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,1896.4149,2.30192e-16
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,2414.0243,2.30192e-16
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,3033.4110,0.0610556
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4000.9117,0.0901194
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4329.3609,0.083946
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,4937.6450,0.083946
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,5579.9034,0.099192
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,6120.6300,0.122746
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,6855.9566,0.128105
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,7408.2399,0.127676
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,7745.1539,0.197427
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,8318.6034,0.199816
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9045.7392,0.206874
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9655.4042,0.284935
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,9809.3471,0.286565
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,10858.5649,0.291842
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,11437.3590,0.303091
clearance_looped,ZAF.9.3.1_1_5810,0.0000,0
clearance_looped,ZAF.9.3.1_1_5810,704.1385,3.55752e-16
clearance_looped,ZAF.9.3.1_1_5810,1777.3077,2.593e-14
clearance_looped,ZAF.9.3.1_1_5810,2685.6158,0.0829023
clearance_looped,ZAF.9.3.1_1_5810,3593.9845,0.15958
clearance_looped,ZAF.9.3.1_1_5810,4452.5090,0.162416
clearance_looped,ZAF.9.3.1_1_5810,5418.0518,0.164503
clearance_looped,ZAF.9.3.1_1_5810,6291.1418,0.223186
clearance_looped,ZAF.9.3.1_1_5810,7215.9559,0.253735
clearance_looped,ZAF.9.3.1_1_5810,8126.8927,0.280101
clearance_looped,ZAF.9.3.1_1_5810,8994.2602,0.277575
clearance_looped,ZAF.9.3.1_1_5810,9916.9109,0.301234
clearance_looped,ZAF.9.3.1_1_5810,10833.1072,0.334706
clearance_looped,ZAF.9.3.1_1_5810,11713.9288,0.356184
clearance_looped,ZAF.9.3.1_1_5810,12641.8431,0.375125
clearance_looped,ZAF.9.3.1_1_5810,13540.8188,0.38776
clearance_looped,ZAF.9.3.1_1_5810,14415.4412,0.414722
clearance_looped,ZAF.9.3.1_1_5810,15339.8941,0.434108
clearance_looped,ZAF.9.3.1_1_5810,16237.3528,0.441858
clearance_looped,ZAF.9.3.1_1_5810,17137.6082,0.468009
clearance_looped,ZAF.9.3.1_1_5810,18061.2555,0.50281
euclidean_grid,ZAF.9.3.1_1_5810,0.0000,0
euclidean_grid,ZAF.9.3.1_1_5810,247.9007,0
euclidean_grid,ZAF.9.3.1_1_5810,1247.9326,0
euclidean_grid,ZAF.9.3.1_1_5810,1437.9227,0
