method,block,displacement,permeability
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0054,0.0505168
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0127,0.129062
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0150,0.159678
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0190,0.208613
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0230,0.231395
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0303,0.292072
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0307,0.317157
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0367,0.354632
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0408,0.355796
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0455,0.364382
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0475,0.389906
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0493,0.390295
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0504,0.392507
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0519,0.392552
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0536,0.392637
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0556,0.401315
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0557,0.41531
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0566,0.415644
greedy_arterial_repulsion,ZAF.9.3.1_1_5810,0.0568,0.415696
clearance_looped,ZAF.9.3.1_1_5810,0.0000,0
clearance_looped,ZAF.9.3.1_1_5810,0.0056,0.15081
clearance_looped,ZAF.9.3.1_1_5810,0.0166,0.199563
clearance_looped,ZAF.9.3.1_1_5810,0.0241,0.271376
clearance_looped,ZAF.9.3.1_1_5810,0.0322,0.299973
clearance_looped,ZAF.9.3.1_1_5810,0.0417,0.344558
clearance_looped,ZAF.9.3.1_1_5810,0.0511,0.376139
clearance_looped,ZAF.9.3.1_1_5810,0.0605,0.400797
clearance_looped,ZAF.9.3.1_1_5810,0.0723,0.422375
clearance_looped,ZAF.9.3.1_1_5810,0.0821,0.440624
clearance_looped,ZAF.9.3.1_1_5810,0.0915,0.448054
clearance_looped,ZAF.9.3.1_1_5810,0.1008,0.475154
clearance_looped,ZAF.9.3.1_1_5810,0.1079,0.495043
clearance_looped,ZAF.9.3.1_1_5810,0.1171,0.508
clearance_looped,ZAF.9.3.1_1_5810,0.1273,0.520021
clearance_looped,ZAF.9.3.1_1_5810,0.1346,0.532054
clearance_looped,ZAF.9.3.1_1_5810,0.1423,0.544433
clearance_looped,ZAF.9.3.1_1_5810,0.1515,0.554448
clearance_looped,ZAF.9.3.1_1_5810,0.1603,0.567346
clearance_looped,ZAF.9.3.1_1_5810,0.1696,0.575786
clearance_looped,ZAF.9.3.1_1_5810,0.1746,0.582251
euclidean_grid,ZAF.9.3.1_1_5810,0.0000,0
euclidean_grid,ZAF.9.3.1_1_5810,0.0031,0.0169239
euclidean_grid,ZAF.9.3.1_1_5810,0.0143,0.180747
euclidean_grid,ZAF.9.3.1_1_5810,0.0151,0.18076
euclidean_grid,ZAF.9.3.1_1_5810,0.0238,0.270983
euclidean_grid,ZAF.9.3.1_1_5810,0.0289,0.319844
euclidean_grid,ZAF.9.3.1_1_5810,0.0330,0.357388
euclidean_grid,ZAF.9.3.1_1_5810,0.0384,0.416754
euclidean_grid,ZAF.9.3.1_1_5810,0.0424,0.446303
euclidean_grid,ZAF.9.3.1_1_5810,0.0502,0.47916
euclidean_grid,ZAF.9.3.1_1_5810,0.0584,0.505124
euclidean_grid,ZAF.9.3.1_1_5810,0.0643,0.505996
euclidean_grid,ZAF.9.3.1_1_5810,0.0680,0.506132
euclidean_grid,ZAF.9.3.1_1_5810,0.0737,0.506602
euclidean_grid,ZAF.9.3.1_1_5810,0.0753,0.507244
euclidean_grid,ZAF.9.3.1_1_5810,0.0822,0.533465
euclidean_grid,ZAF.9.3.1_1_5810,0.0856,0.53388
euclidean_grid,ZAF.9.3.1_1_5810,0.0918,0.55
euclidean_grid,ZAF.9.3.1_1_5810,0.0958,0.558566
euclidean_grid,ZAF.9.3.1_1_5810,0.1019,0.592096
euclidean_grid,ZAF.9.3.1_1_5810,0.1095,0.607643
osm_footpaths,ZAF.9.3.1_1_5810,0.0000,0
osm_footpaths,ZAF.9.3.1_1_5810,0.0008,0.0103461
osm_footpaths,ZAF.9.3.1_1_5810,0.0030,0.0309132
osm_footpaths,ZAF.9.3.1_1_5810,0.0056,0.0322346
osm_footpaths,ZAF.9.3.1_1_5810,0.0072,0.0326476
osm_footpaths,ZAF.9.3.1_1_5810,0.0096,0.0342337
osm_footpaths,ZAF.9.3.1_1_5810,0.0124,0.0346955
osm_footpaths,ZAF.9.3.1_1_5810,0.0141,0.0360735
osm_footpaths,ZAF.9.3.1_1_5810,0.0154,0.0363268
osm_footpaths,ZAF.9.3.1_1_5810,0.0159,0.0363504
osm_footpaths,ZAF.9.3.1_1_5810,0.0170,0.0364571
osm_footpaths,ZAF.9.3.1_1_5810,0.0187,0.155988
osm_footpaths,ZAF.9.3.1_1_5810,0.0211,0.183402
