method,block,road_length_m,displacement
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,0.0000,0.0000
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,161.7984,10.3456
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,607.3235,74.4778
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,872.8110,93.7845
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1089.4398,120.0807
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1542.7539,146.0303
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1742.6069,162.2925
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2024.1321,182.8200
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2444.8649,197.7818
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2652.6698,209.8059
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2992.5706,246.3638
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3330.4607,262.1017
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3687.9902,296.9311
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3982.8782,326.0569
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4290.2371,347.5979
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4580.2556,367.6468
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4896.0624,385.1841
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5227.6163,404.3871
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5557.4929,415.7134
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5862.1552,421.7603
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,6179.2743,429.3147
clearance_looped,ZAF.9.3.1_1_38528,0.0000,0.0000
clearance_looped,ZAF.9.3.1_1_38528,154.6997,17.1733
clearance_looped,ZAF.9.3.1_1_38528,420.7229,56.1443
clearance_looped,ZAF.9.3.1_1_38528,755.5010,95.9606
clearance_looped,ZAF.9.3.1_1_38528,980.0152,131.2106
clearance_looped,ZAF.9.3.1_1_38528,1265.1235,159.8152
clearance_looped,ZAF.9.3.1_1_38528,1533.2461,185.7704
clearance_looped,ZAF.9.3.1_1_38528,1769.6434,206.7029
clearance_looped,ZAF.9.3.1_1_38528,1961.2270,228.2593
clearance_looped,ZAF.9.3.1_1_38528,2248.2603,261.5177
clearance_looped,ZAF.9.3.1_1_38528,2542.9090,299.2793
clearance_looped,ZAF.9.3.1_1_38528,2783.4987,342.8354
clearance_looped,ZAF.9.3.1_1_38528,3056.4372,391.6940
clearance_looped,ZAF.9.3.1_1_38528,3322.8939,427.5398
clearance_looped,ZAF.9.3.1_1_38528,3542.6612,450.3157
clearance_looped,ZAF.9.3.1_1_38528,3812.5452,483.9772
clearance_looped,ZAF.9.3.1_1_38528,4060.1871,508.2955
clearance_looped,ZAF.9.3.1_1_38528,4340.8326,533.6711
clearance_looped,ZAF.9.3.1_1_38528,4585.7579,552.9277
clearance_looped,ZAF.9.3.1_1_38528,4848.8584,566.5330
clearance_looped,ZAF.9.3.1_1_38528,5114.1393,582.7710
euclidean_grid,ZAF.9.3.1_1_38528,0.0000,0.0000
euclidean_grid,ZAF.9.3.1_1_38528,167.4777,19.6357
euclidean_grid,ZAF.9.3.1_1_38528,537.7152,52.9508
euclidean_grid,ZAF.9.3.1_1_38528,892.2753,77.2071
euclidean_grid,ZAF.9.3.1_1_38528,1473.7562,130.5958
euclidean_grid,ZAF.9.3.1_1_38528,2067.4957,209.1986
euclidean_grid,ZAF.9.3.1_1_38528,2486.0848,255.8719
euclidean_grid,ZAF.9.3.1_1_38528,2695.5114,283.1799
euclidean_grid,ZAF.9.3.1_1_38528,2931.5324,304.2058
euclidean_grid,ZAF.9.3.1_1_38528,3165.7413,320.7065
euclidean_grid,ZAF.9.3.1_1_38528,3334.4043,334.8028
osm_footpaths,ZAF.9.3.1_1_38528,0.0000,0.0000
osm_footpaths,ZAF.9.3.1_1_38528,270.9501,9.1279
osm_footpaths,ZAF.9.3.1_1_38528,548.5871,34.4537
osm_footpaths,ZAF.9.3.1_1_38528,905.5738,69.1614
osm_footpaths,ZAF.9.3.1_1_38528,1165.3731,88.6892
osm_footpaths,ZAF.9.3.1_1_38528,1580.0140,105.2735
osm_footpaths,ZAF.9.3.1_1_38528,1904.5228,122.9022
osm_footpaths,ZAF.9.3.1_1_38528,2208.3575,132.5371
osm_footpaths,ZAF.9.3.1_1_38528,2507.9765,162.3031
osm_footpaths,ZAF.9.3.1_1_38528,2855.4091,174.0607
osm_footpaths,ZAF.9.3.1_1_38528,3201.9650,192.2927
osm_footpaths,ZAF.9.3.1_1_38528,3482.2147,214.8641
osm_footpaths,ZAF.9.3.1_1_38528,3902.0123,236.8300
osm_footpaths,ZAF.9.3.1_1_38528,4219.1905,247.1444
osm_footpaths,ZAF.9.3.1_1_38528,4538.7655,258.8027
osm_footpaths,ZAF.9.3.1_1_38528,4867.9913,303.6609
osm_footpaths,ZAF.9.3.1_1_38528,5060.5685,329.8756
osm_footpaths,ZAF.9.3.1_1_38528,5426.6298,367.3332
osm_footpaths,ZAF.9.3.1_1_38528,5801.1535,407.3990
osm_footpaths,ZAF.9.3.1_1_38528,6100.0940,439.9055
osm_footpaths,ZAF.9.3.1_1_38528,6504.6887,485.8106
