method,block,displacement,permeability
clearance_looped,ZAF.9.3.1_1_41785,0.0000,0
clearance_looped,ZAF.9.3.1_1_41785,0.0052,0.166872
clearance_looped,ZAF.9.3.1_1_41785,0.0126,0.428198
clearance_looped,ZAF.9.3.1_1_41785,0.0216,0.509976
clearance_looped,ZAF.9.3.1_1_41785,0.0298,0.576569
clearance_looped,ZAF.9.3.1_1_41785,0.0374,0.621516
clearance_looped,ZAF.9.3.1_1_41785,0.0462,0.6658
clearance_looped,ZAF.9.3.1_1_41785,0.0559,0.704378
clearance_looped,ZAF.9.3.1_1_41785,0.0647,0.734092
clearance_looped,ZAF.9.3.1_1_41785,0.0741,0.762006
clearance_looped,ZAF.9.3.1_1_41785,0.0812,0.778264
clearance_looped,ZAF.9.3.1_1_41785,0.0890,0.795837
clearance_looped,ZAF.9.3.1_1_41785,0.0954,0.803461
clearance_looped,ZAF.9.3.1_1_41785,0.1005,0.81432
clearance_looped,ZAF.9.3.1_1_41785,0.1070,0.822979
clearance_looped,ZAF.9.3.1_1_41785,0.1129,0.832032
clearance_looped,ZAF.9.3.1_1_41785,0.1192,0.839074
clearance_looped,ZAF.9.3.1_1_41785,0.1261,0.848178
clearance_looped,ZAF.9.3.1_1_41785,0.1308,0.854195
clearance_looped,ZAF.9.3.1_1_41785,0.1363,0.861312
clearance_looped,ZAF.9.3.1_1_41785,0.1407,0.862755
euclidean_grid,ZAF.9.3.1_1_41785,0.0000,0
euclidean_grid,ZAF.9.3.1_1_41785,0.0033,0.0802601
euclidean_grid,ZAF.9.3.1_1_41785,0.0083,0.092684
euclidean_grid,ZAF.9.3.1_1_41785,0.0213,0.143783
euclidean_grid,ZAF.9.3.1_1_41785,0.0280,0.211948
euclidean_grid,ZAF.9.3.1_1_41785,0.0321,0.232717
euclidean_grid,ZAF.9.3.1_1_41785,0.0353,0.256511
euclidean_grid,ZAF.9.3.1_1_41785,0.0374,0.278116
euclidean_grid,ZAF.9.3.1_1_41785,0.0457,0.483594
euclidean_grid,ZAF.9.3.1_1_41785,0.0500,0.488249
euclidean_grid,ZAF.9.3.1_1_41785,0.0513,0.490411
euclidean_grid,ZAF.9.3.1_1_41785,0.0555,0.498531
euclidean_grid,ZAF.9.3.1_1_41785,0.0610,0.514858
euclidean_grid,ZAF.9.3.1_1_41785,0.0659,0.541453
euclidean_grid,ZAF.9.3.1_1_41785,0.0726,0.598947
euclidean_grid,ZAF.9.3.1_1_41785,0.0749,0.601058
euclidean_grid,ZAF.9.3.1_1_41785,0.0857,0.615161
euclidean_grid,ZAF.9.3.1_1_41785,0.0876,0.616816
euclidean_grid,ZAF.9.3.1_1_41785,0.0938,0.640493
cycle_native,ZAF.9.3.1_1_41785,0.0000,0
cycle_native,ZAF.9.3.1_1_41785,0.0183,0.457206
cycle_native,ZAF.9.3.1_1_41785,0.0334,0.596462
cycle_native,ZAF.9.3.1_1_41785,0.0485,0.681839
cycle_native,ZAF.9.3.1_1_41785,0.0649,0.748016
cycle_native,ZAF.9.3.1_1_41785,0.0792,0.783692
cycle_native,ZAF.9.3.1_1_41785,0.0915,0.811321
cycle_native,ZAF.9.3.1_1_41785,0.1022,0.834807
cycle_native,ZAF.9.3.1_1_41785,0.1142,0.852528
cycle_native,ZAF.9.3.1_1_41785,0.1273,0.869986
cycle_native,ZAF.9.3.1_1_41785,0.1390,0.881561
cycle_native,ZAF.9.3.1_1_41785,0.1509,0.893169
cycle_native,ZAF.9.3.1_1_41785,0.1604,0.901433
cycle_native,ZAF.9.3.1_1_41785,0.1678,0.90608
cycle_native,ZAF.9.3.1_1_41785,0.1788,0.911293
cycle_native,ZAF.9.3.1_1_41785,0.1836,0.912819
cycle_native,ZAF.9.3.1_1_41785,0.1897,0.914641
cycle_native,ZAF.9.3.1_1_41785,0.1924,0.916081
cycle_native,ZAF.9.3.1_1_41785,0.1953,0.917254
cycle_native,ZAF.9.3.1_1_41785,0.1980,0.917828
cycle_native,ZAF.9.3.1_1_41785,0.1999,0.918466
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0000,0
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0011,0.00316501
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0043,0.00927138
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0123,0.209464
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0146,0.274548
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0194,0.385238
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0219,0.41335
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0273,0.45504
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0320,0.508368
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0343,0.549356
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0370,0.587469
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0427,0.638454
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0466,0.68263
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0502,0.704044
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0520,0.717928
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0568,0.737171
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0598,0.754696
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0603,0.758303
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0605,0.760502
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0607,0.760846
greedy_arterial_access_displacement,ZAF.9.3.1_1_41785,0.0607,0.760846
