method,block,road_length_m,displacement
clearance,KEN.30.9_1_3515,0.0000,0.0000
clearance,KEN.30.9_1_3515,46.7664,1.2800
clearance,KEN.30.9_1_3515,120.1777,6.0681
clearance,KEN.30.9_1_3515,164.6002,7.9538
clearance,KEN.30.9_1_3515,205.9835,11.3547
clearance,KEN.30.9_1_3515,251.1092,13.7895
clearance,KEN.30.9_1_3515,294.6787,17.5715
clearance,KEN.30.9_1_3515,318.0244,19.6584
clearance,KEN.30.9_1_3515,356.2286,22.3453
clearance,KEN.30.9_1_3515,390.2043,22.9396
greedy_arterial_buildable,KEN.30.9_1_3515,0.0000,0.0000
greedy_arterial_buildable,KEN.30.9_1_3515,154.4481,10.9555
greedy_arterial_buildable,KEN.30.9_1_3515,401.5879,17.6589
greedy_arterial_buildable,KEN.30.9_1_3515,497.1961,18.0972
greedy_arterial_buildable,KEN.30.9_1_3515,581.1867,22.3023
greedy_arterial_buildable,KEN.30.9_1_3515,668.0856,24.3825
greedy_arterial_buildable,KEN.30.9_1_3515,793.5681,30.4964
greedy_arterial_buildable,KEN.30.9_1_3515,960.2777,35.8238
greedy_arterial_buildable,KEN.30.9_1_3515,1058.1144,37.9677
greedy_arterial_buildable,KEN.30.9_1_3515,1146.9041,41.7585
greedy_arterial_buildable,KEN.30.9_1_3515,1285.2044,45.5038
greedy_arterial_buildable,KEN.30.9_1_3515,1396.6096,48.8986
greedy_arterial_buildable,KEN.30.9_1_3515,1521.7265,56.7153
greedy_arterial_buildable,KEN.30.9_1_3515,1607.0429,58.3687
