method,block,road_length_m,benefit
clearance,KEN.30.9_1_3515,0.0000,0
clearance,KEN.30.9_1_3515,46.7664,0.0179028
clearance,KEN.30.9_1_3515,120.1777,0.044757
clearance,KEN.30.9_1_3515,164.6002,0.0530109
clearance,KEN.30.9_1_3515,205.9835,0.0666124
clearance,KEN.30.9_1_3515,251.1092,0.0756801
clearance,KEN.30.9_1_3515,294.6787,0.0878865
clearance,KEN.30.9_1_3515,318.0244,0.101604
clearance,KEN.30.9_1_3515,356.2286,0.109858
clearance,KEN.30.9_1_3515,390.2043,0.119972
greedy_arterial_repulsion,KEN.30.9_1_3515,0.0000,0
greedy_arterial_repulsion,KEN.30.9_1_3515,154.4481,0.0182516
greedy_arterial_repulsion,KEN.30.9_1_3515,426.7869,0.0301093
greedy_arterial_repulsion,KEN.30.9_1_3515,500.7685,0.0645199
greedy_arterial_repulsion,KEN.30.9_1_3515,681.0659,0.0735875
greedy_arterial_repulsion,KEN.30.9_1_3515,781.6964,0.0780051
greedy_arterial_repulsion,KEN.30.9_1_3515,868.5953,0.083469
greedy_arterial_repulsion,KEN.30.9_1_3515,953.8033,0.097303
greedy_arterial_repulsion,KEN.30.9_1_3515,1022.5650,0.101139
greedy_arterial_repulsion,KEN.30.9_1_3515,1160.8653,0.103813
greedy_arterial_repulsion,KEN.30.9_1_3515,1249.6550,0.106719
greedy_arterial_repulsion,KEN.30.9_1_3515,1352.8413,0.109044
greedy_arterial_repulsion,KEN.30.9_1_3515,1588.4800,0.110091
greedy_arterial_repulsion,KEN.30.9_1_3515,1673.3058,0.112648
greedy_arterial_repulsion,KEN.30.9_1_3515,1819.8796,0.115438
clearance_looped,KEN.30.9_1_3515,0.0000,0
clearance_looped,KEN.30.9_1_3515,73.4114,0.0268542
clearance_looped,KEN.30.9_1_3515,120.1777,0.044757
clearance_looped,KEN.30.9_1_3515,161.5610,0.0583585
clearance_looped,KEN.30.9_1_3515,205.9835,0.0666124
clearance_looped,KEN.30.9_1_3515,251.1092,0.0756801
clearance_looped,KEN.30.9_1_3515,294.6787,0.0878865
clearance_looped,KEN.30.9_1_3515,328.6544,0.101837
clearance_looped,KEN.30.9_1_3515,366.8585,0.110091
clearance_looped,KEN.30.9_1_3515,390.2043,0.119972
clearance_looped,KEN.30.9_1_3515,432.1492,0.119972
clearance_looped,KEN.30.9_1_3515,451.8327,0.119972
clearance_looped,KEN.30.9_1_3515,485.2296,0.122065
euclidean_grid,KEN.30.9_1_3515,0.0000,0
euclidean_grid,KEN.30.9_1_3515,1014.7615,0.041037
euclidean_grid,KEN.30.9_1_3515,2082.8822,0.106836
euclidean_grid,KEN.30.9_1_3515,3119.6034,0.127063
euclidean_grid,KEN.30.9_1_3515,4184.3921,0.15694
euclidean_grid,KEN.30.9_1_3515,5213.3736,0.171704
euclidean_grid,KEN.30.9_1_3515,6277.8573,0.20286
euclidean_grid,KEN.30.9_1_3515,7352.2378,0.248663
euclidean_grid,KEN.30.9_1_3515,8386.7308,0.275401
euclidean_grid,KEN.30.9_1_3515,9474.5842,0.291909
euclidean_grid,KEN.30.9_1_3515,10525.2047,0.318996
euclidean_grid,KEN.30.9_1_3515,11550.0549,0.340153
euclidean_grid,KEN.30.9_1_3515,12596.3435,0.350732
euclidean_grid,KEN.30.9_1_3515,13658.3269,0.359335
euclidean_grid,KEN.30.9_1_3515,14728.3753,0.387933
euclidean_grid,KEN.30.9_1_3515,15795.8373,0.41037
euclidean_grid,KEN.30.9_1_3515,16788.8102,0.430598
euclidean_grid,KEN.30.9_1_3515,17868.3715,0.448733
euclidean_grid,KEN.30.9_1_3515,18906.6206,0.461404
euclidean_grid,KEN.30.9_1_3515,19993.5625,0.481981
euclidean_grid,KEN.30.9_1_3515,21064.7587,0.50465
