method,block,road_length_m,benefit
clearance,KEN.30.9_1_3515,0.0000,0
clearance,KEN.30.9_1_3515,46.7664,6.66134e-16
clearance,KEN.30.9_1_3515,120.1777,1.06242e-15
clearance,KEN.30.9_1_3515,164.6002,8.96911e-16
clearance,KEN.30.9_1_3515,205.9835,7.16976e-16
clearance,KEN.30.9_1_3515,251.1092,5.08995e-16
clearance,KEN.30.9_1_3515,294.6787,5.40663e-16
clearance,KEN.30.9_1_3515,318.0244,5.13307e-16
clearance,KEN.30.9_1_3515,356.2286,4.49505e-16
clearance,KEN.30.9_1_3515,390.2043,4.11837e-16
greedy_arterial_repulsion,KEN.30.9_1_3515,0.0000,0
greedy_arterial_repulsion,KEN.30.9_1_3515,154.4481,0.304553
greedy_arterial_repulsion,KEN.30.9_1_3515,426.7869,0.298257
greedy_arterial_repulsion,KEN.30.9_1_3515,500.7685,0.197062
greedy_arterial_repulsion,KEN.30.9_1_3515,681.0659,0.215104
greedy_arterial_repulsion,KEN.30.9_1_3515,781.6964,0.311922
greedy_arterial_repulsion,KEN.30.9_1_3515,868.5953,0.310927
greedy_arterial_repulsion,KEN.30.9_1_3515,953.8033,0.308928
greedy_arterial_repulsion,KEN.30.9_1_3515,1022.5650,0.306265
greedy_arterial_repulsion,KEN.30.9_1_3515,1160.8653,0.305643
greedy_arterial_repulsion,KEN.30.9_1_3515,1249.6550,0.308992
greedy_arterial_repulsion,KEN.30.9_1_3515,1352.8413,0.307824
greedy_arterial_repulsion,KEN.30.9_1_3515,1588.4800,0.307979
greedy_arterial_repulsion,KEN.30.9_1_3515,1673.3058,0.301566
greedy_arterial_repulsion,KEN.30.9_1_3515,1819.8796,0.300751
clearance_looped,KEN.30.9_1_3515,0.0000,0
clearance_looped,KEN.30.9_1_3515,73.4114,1.2701e-15
clearance_looped,KEN.30.9_1_3515,120.1777,1.06242e-15
clearance_looped,KEN.30.9_1_3515,161.5610,8.15397e-16
clearance_looped,KEN.30.9_1_3515,205.9835,7.16976e-16
clearance_looped,KEN.30.9_1_3515,251.1092,5.08995e-16
clearance_looped,KEN.30.9_1_3515,294.6787,5.40663e-16
clearance_looped,KEN.30.9_1_3515,328.6544,4.87265e-16
clearance_looped,KEN.30.9_1_3515,366.8585,4.2378e-16
clearance_looped,KEN.30.9_1_3515,390.2043,4.11837e-16
clearance_looped,KEN.30.9_1_3515,432.1492,0.0627115
clearance_looped,KEN.30.9_1_3515,451.8327,0.0757559
clearance_looped,KEN.30.9_1_3515,485.2296,0.0926266
euclidean_grid,KEN.30.9_1_3515,0.0000,0
euclidean_grid,KEN.30.9_1_3515,1014.7615,0
euclidean_grid,KEN.30.9_1_3515,2082.8822,0
euclidean_grid,KEN.30.9_1_3515,3119.6034,0.0118285
euclidean_grid,KEN.30.9_1_3515,4184.3921,0.080284
euclidean_grid,KEN.30.9_1_3515,5213.3736,0.108597
euclidean_grid,KEN.30.9_1_3515,6277.8573,0.0942633
euclidean_grid,KEN.30.9_1_3515,7352.2378,0.101905
euclidean_grid,KEN.30.9_1_3515,8386.7308,0.118102
euclidean_grid,KEN.30.9_1_3515,9474.5842,0.118928
euclidean_grid,KEN.30.9_1_3515,10525.2047,0.144707
euclidean_grid,KEN.30.9_1_3515,11550.0549,0.147567
euclidean_grid,KEN.30.9_1_3515,12596.3435,0.159632
euclidean_grid,KEN.30.9_1_3515,13658.3269,0.178142
euclidean_grid,KEN.30.9_1_3515,14728.3753,0.19215
euclidean_grid,KEN.30.9_1_3515,15795.8373,0.22008
euclidean_grid,KEN.30.9_1_3515,16788.8102,0.239531
euclidean_grid,KEN.30.9_1_3515,17868.3715,0.270705
euclidean_grid,KEN.30.9_1_3515,18906.6206,0.288944
euclidean_grid,KEN.30.9_1_3515,19993.5625,0.29822
euclidean_grid,KEN.30.9_1_3515,21064.7587,0.312374
