method,block,displacement,permeability
clearance_looped,KEN.30.9_1_3515,0.0000,0
clearance_looped,KEN.30.9_1_3515,0.0050,0.218857
clearance_looped,KEN.30.9_1_3515,0.0112,0.414035
clearance_looped,KEN.30.9_1_3515,0.0181,0.51383
clearance_looped,KEN.30.9_1_3515,0.0252,0.573044
clearance_looped,KEN.30.9_1_3515,0.0336,0.6051
clearance_looped,KEN.30.9_1_3515,0.0406,0.650366
clearance_looped,KEN.30.9_1_3515,0.0459,0.682853
clearance_looped,KEN.30.9_1_3515,0.0520,0.708913
clearance_looped,KEN.30.9_1_3515,0.0582,0.727514
clearance_looped,KEN.30.9_1_3515,0.0668,0.7524
clearance_looped,KEN.30.9_1_3515,0.0735,0.766896
clearance_looped,KEN.30.9_1_3515,0.0818,0.781959
clearance_looped,KEN.30.9_1_3515,0.0869,0.786864
clearance_looped,KEN.30.9_1_3515,0.0950,0.799697
clearance_looped,KEN.30.9_1_3515,0.1003,0.809449
clearance_looped,KEN.30.9_1_3515,0.1043,0.813805
clearance_looped,KEN.30.9_1_3515,0.1085,0.81996
clearance_looped,KEN.30.9_1_3515,0.1137,0.823773
clearance_looped,KEN.30.9_1_3515,0.1166,0.828629
clearance_looped,KEN.30.9_1_3515,0.1210,0.831319
euclidean_grid,KEN.30.9_1_3515,0.0000,0
euclidean_grid,KEN.30.9_1_3515,0.0041,0.180732
euclidean_grid,KEN.30.9_1_3515,0.0075,0.202816
euclidean_grid,KEN.30.9_1_3515,0.0095,0.206841
euclidean_grid,KEN.30.9_1_3515,0.0182,0.214542
euclidean_grid,KEN.30.9_1_3515,0.0190,0.215831
euclidean_grid,KEN.30.9_1_3515,0.0256,0.326619
euclidean_grid,KEN.30.9_1_3515,0.0432,0.510577
euclidean_grid,KEN.30.9_1_3515,0.0507,0.558749
euclidean_grid,KEN.30.9_1_3515,0.0529,0.560314
euclidean_grid,KEN.30.9_1_3515,0.0567,0.56129
euclidean_grid,KEN.30.9_1_3515,0.0582,0.561353
euclidean_grid,KEN.30.9_1_3515,0.0766,0.647104
euclidean_grid,KEN.30.9_1_3515,0.0874,0.676375
euclidean_grid,KEN.30.9_1_3515,0.0916,0.676759
euclidean_grid,KEN.30.9_1_3515,0.0916,0.677475
euclidean_grid,KEN.30.9_1_3515,0.0989,0.678118
euclidean_grid,KEN.30.9_1_3515,0.1054,0.707277
euclidean_grid,KEN.30.9_1_3515,0.1069,0.709282
euclidean_grid,KEN.30.9_1_3515,0.1220,0.773106
euclidean_grid,KEN.30.9_1_3515,0.1335,0.802611
resistance_lp,KEN.30.9_1_3515,0.0000,0
resistance_lp,KEN.30.9_1_3515,0.0119,0.496628
resistance_lp,KEN.30.9_1_3515,0.0204,0.645211
resistance_lp,KEN.30.9_1_3515,0.0344,0.76482
resistance_lp,KEN.30.9_1_3515,0.0484,0.827063
resistance_lp,KEN.30.9_1_3515,0.0594,0.865836
resistance_lp,KEN.30.9_1_3515,0.0715,0.890976
resistance_lp,KEN.30.9_1_3515,0.0806,0.906405
resistance_lp,KEN.30.9_1_3515,0.0867,0.913843
resistance_lp,KEN.30.9_1_3515,0.0966,0.925472
resistance_lp,KEN.30.9_1_3515,0.1146,0.935762
resistance_lp,KEN.30.9_1_3515,0.1153,0.936794
resistance_lp,KEN.30.9_1_3515,0.1163,0.939944
resistance_lp,KEN.30.9_1_3515,0.1216,0.943699
resistance_lp,KEN.30.9_1_3515,0.1354,0.949424
resistance_lp,KEN.30.9_1_3515,0.1440,0.955335
resistance_lp,KEN.30.9_1_3515,0.1488,0.959089
resistance_lp,KEN.30.9_1_3515,0.1527,0.961894
resistance_lp,KEN.30.9_1_3515,0.1638,0.964823
resistance_lp,KEN.30.9_1_3515,0.1790,0.96862
resistance_lp,KEN.30.9_1_3515,0.2000,0.975181
cycle_native,KEN.30.9_1_3515,0.0000,0
cycle_native,KEN.30.9_1_3515,0.0076,0.401123
cycle_native,KEN.30.9_1_3515,0.0142,0.50451
cycle_native,KEN.30.9_1_3515,0.0227,0.588261
cycle_native,KEN.30.9_1_3515,0.0306,0.631955
cycle_native,KEN.30.9_1_3515,0.0397,0.700363
cycle_native,KEN.30.9_1_3515,0.0420,0.712931
cycle_native,KEN.30.9_1_3515,0.0479,0.724665
cycle_native,KEN.30.9_1_3515,0.0527,0.738207
cycle_native,KEN.30.9_1_3515,0.0549,0.739613
cycle_native,KEN.30.9_1_3515,0.0579,0.741851
cycle_native,KEN.30.9_1_3515,0.0592,0.74198
cycle_native,KEN.30.9_1_3515,0.0598,0.743064
cycle_native,KEN.30.9_1_3515,0.0623,0.744454
cycle_native,KEN.30.9_1_3515,0.0651,0.747266
cycle_native,KEN.30.9_1_3515,0.0672,0.748168
cycle_native,KEN.30.9_1_3515,0.0674,0.748232
cycle_native,KEN.30.9_1_3515,0.0682,0.748435
cycle_native,KEN.30.9_1_3515,0.0688,0.748489
cycle_native,KEN.30.9_1_3515,0.0690,0.748514
cycle_native,KEN.30.9_1_3515,0.0694,0.748914
