method,block,road_length_m,displacement
clearance,KEN.30.6_1_80,0.0000,0.0000
clearance,KEN.30.6_1_80,346.9795,11.3556
clearance,KEN.30.6_1_80,657.2889,28.4710
clearance,KEN.30.6_1_80,1049.3687,49.2473
clearance,KEN.30.6_1_80,1434.5218,76.5329
clearance,KEN.30.6_1_80,1821.5073,100.4048
clearance,KEN.30.6_1_80,2128.4780,120.7183
clearance,KEN.30.6_1_80,2520.6033,146.4084
clearance,KEN.30.6_1_80,2879.1347,165.9257
clearance,KEN.30.6_1_80,3267.7555,183.1753
clearance,KEN.30.6_1_80,3629.4004,205.4260
clearance,KEN.30.6_1_80,4002.4259,229.9661
clearance,KEN.30.6_1_80,4363.0408,253.5554
clearance,KEN.30.6_1_80,4716.1754,271.5452
clearance,KEN.30.6_1_80,5075.6038,291.1830
clearance,KEN.30.6_1_80,5470.7972,323.6256
clearance,KEN.30.6_1_80,5801.2314,343.7283
clearance,KEN.30.6_1_80,6192.1601,377.5058
clearance,KEN.30.6_1_80,6568.0757,400.3931
clearance,KEN.30.6_1_80,6894.6120,421.1477
clearance,KEN.30.6_1_80,7298.6178,450.8598
greedy_arterial_buildable,KEN.30.6_1_80,0.0000,0.0000
greedy_arterial_buildable,KEN.30.6_1_80,544.9780,34.2941
greedy_arterial_buildable,KEN.30.6_1_80,1191.2238,73.7610
greedy_arterial_buildable,KEN.30.6_1_80,1797.0449,95.1536
greedy_arterial_buildable,KEN.30.6_1_80,2390.8751,128.2040
greedy_arterial_buildable,KEN.30.6_1_80,2898.6181,158.7516
greedy_arterial_buildable,KEN.30.6_1_80,3108.6480,164.3213
greedy_arterial_buildable,KEN.30.6_1_80,3862.6438,173.5491
greedy_arterial_buildable,KEN.30.6_1_80,4586.9789,208.8206
greedy_arterial_buildable,KEN.30.6_1_80,5410.4267,240.6946
greedy_arterial_buildable,KEN.30.6_1_80,5742.3162,266.7410
greedy_arterial_buildable,KEN.30.6_1_80,6694.0480,304.6103
greedy_arterial_buildable,KEN.30.6_1_80,7289.9520,330.5031
greedy_arterial_buildable,KEN.30.6_1_80,7962.1347,348.8464
greedy_arterial_buildable,KEN.30.6_1_80,8108.1545,357.4679
greedy_arterial_buildable,KEN.30.6_1_80,9161.0746,389.2847
greedy_arterial_buildable,KEN.30.6_1_80,9796.6449,394.9510
greedy_arterial_buildable,KEN.30.6_1_80,10398.3521,398.2405
greedy_arterial_buildable,KEN.30.6_1_80,10997.6008,403.4936
greedy_arterial_buildable,KEN.30.6_1_80,11345.0605,405.4773
greedy_arterial_buildable,KEN.30.6_1_80,12250.6991,407.8138
osm_footpaths,KEN.30.6_1_80,0.0000,0.0000
osm_footpaths,KEN.30.6_1_80,95.7625,6.3206
osm_footpaths,KEN.30.6_1_80,327.8018,18.0268
osm_footpaths,KEN.30.6_1_80,664.6764,19.0268
osm_footpaths,KEN.30.6_1_80,734.7365,22.1450
osm_footpaths,KEN.30.6_1_80,1042.0649,22.1450
osm_footpaths,KEN.30.6_1_80,1275.1273,23.1042
osm_footpaths,KEN.30.6_1_80,1405.6116,24.2459
osm_footpaths,KEN.30.6_1_80,1572.3391,25.5777
osm_footpaths,KEN.30.6_1_80,1752.5407,26.7895
osm_footpaths,KEN.30.6_1_80,2032.7131,32.4529
osm_footpaths,KEN.30.6_1_80,2224.7205,36.3114
osm_footpaths,KEN.30.6_1_80,2414.9840,44.5054
osm_footpaths,KEN.30.6_1_80,2713.7675,59.1863
osm_footpaths,KEN.30.6_1_80,2884.9932,71.1912
