method,block,road_length_m,benefit
greedy_arterial_repulsion,KEN.30.6_1_80,0.0000,0
greedy_arterial_repulsion,KEN.30.6_1_80,608.9201,0.414147
greedy_arterial_repulsion,KEN.30.6_1_80,1551.7185,0.493593
greedy_arterial_repulsion,KEN.30.6_1_80,1893.1139,0.52384
greedy_arterial_repulsion,KEN.30.6_1_80,2208.7473,0.52919
greedy_arterial_repulsion,KEN.30.6_1_80,3074.6511,0.546523
greedy_arterial_repulsion,KEN.30.6_1_80,3816.3083,0.573644
greedy_arterial_repulsion,KEN.30.6_1_80,4148.8538,0.573644
greedy_arterial_repulsion,KEN.30.6_1_80,4892.9294,0.604244
greedy_arterial_repulsion,KEN.30.6_1_80,5407.8364,0.605265
greedy_arterial_repulsion,KEN.30.6_1_80,6017.8710,0.605374
greedy_arterial_repulsion,KEN.30.6_1_80,6600.2116,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,7160.6273,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,7701.7851,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,8232.3079,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,8787.4554,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,9138.8473,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,9899.4445,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,10460.9188,0.605401
greedy_arterial_repulsion,KEN.30.6_1_80,11018.6949,0.605401
clearance_looped,KEN.30.6_1_80,0.0000,0
clearance_looped,KEN.30.6_1_80,439.2545,0.382616
clearance_looped,KEN.30.6_1_80,894.0319,0.510167
clearance_looped,KEN.30.6_1_80,1393.9044,0.621559
clearance_looped,KEN.30.6_1_80,1846.7989,0.665055
clearance_looped,KEN.30.6_1_80,2355.4042,0.688922
clearance_looped,KEN.30.6_1_80,2822.7077,0.717227
clearance_looped,KEN.30.6_1_80,3224.1403,0.736521
clearance_looped,KEN.30.6_1_80,3758.7099,0.757054
clearance_looped,KEN.30.6_1_80,4205.3390,0.785909
clearance_looped,KEN.30.6_1_80,4652.7873,0.798372
clearance_looped,KEN.30.6_1_80,5153.3394,0.812162
clearance_looped,KEN.30.6_1_80,5632.1313,0.825094
clearance_looped,KEN.30.6_1_80,6055.0524,0.835614
clearance_looped,KEN.30.6_1_80,6569.8885,0.84241
clearance_looped,KEN.30.6_1_80,7059.2754,0.84888
clearance_looped,KEN.30.6_1_80,7492.2966,0.8563
clearance_looped,KEN.30.6_1_80,7955.5848,0.862454
clearance_looped,KEN.30.6_1_80,8472.6645,0.865536
clearance_looped,KEN.30.6_1_80,8945.3933,0.868825
clearance_looped,KEN.30.6_1_80,9429.0563,0.869747
euclidean_grid,KEN.30.6_1_80,0.0000,0
euclidean_grid,KEN.30.6_1_80,337.9957,0.000280153
euclidean_grid,KEN.30.6_1_80,1207.2551,0.000388599
euclidean_grid,KEN.30.6_1_80,1360.8239,0.00184358
euclidean_grid,KEN.30.6_1_80,2528.8699,0.00742856
euclidean_grid,KEN.30.6_1_80,3141.8662,0.00742856
euclidean_grid,KEN.30.6_1_80,3757.0456,0.0385074
euclidean_grid,KEN.30.6_1_80,4120.1427,0.056139
euclidean_grid,KEN.30.6_1_80,5017.5158,0.0566993
euclidean_grid,KEN.30.6_1_80,5361.5998,0.0881306
euclidean_grid,KEN.30.6_1_80,6339.4585,0.0905887
euclidean_grid,KEN.30.6_1_80,6716.4845,0.0905887
euclidean_grid,KEN.30.6_1_80,7621.1458,0.0929022
euclidean_grid,KEN.30.6_1_80,8242.7443,0.578018
euclidean_grid,KEN.30.6_1_80,9248.4673,0.653045
euclidean_grid,KEN.30.6_1_80,10148.9732,0.680879
euclidean_grid,KEN.30.6_1_80,10753.8052,0.722034
euclidean_grid,KEN.30.6_1_80,11420.6259,0.75784
euclidean_grid,KEN.30.6_1_80,11940.0167,0.771603
euclidean_grid,KEN.30.6_1_80,12731.3200,0.779411
osm_footpaths,KEN.30.6_1_80,0.0000,0
osm_footpaths,KEN.30.6_1_80,95.7625,0
osm_footpaths,KEN.30.6_1_80,327.8018,0
osm_footpaths,KEN.30.6_1_80,664.6764,0
osm_footpaths,KEN.30.6_1_80,734.7365,0
osm_footpaths,KEN.30.6_1_80,1042.0649,0
osm_footpaths,KEN.30.6_1_80,1275.1273,0
osm_footpaths,KEN.30.6_1_80,1405.6116,0
osm_footpaths,KEN.30.6_1_80,1572.3391,0
osm_footpaths,KEN.30.6_1_80,1752.5407,0
osm_footpaths,KEN.30.6_1_80,2032.7131,0
osm_footpaths,KEN.30.6_1_80,2224.7205,0
osm_footpaths,KEN.30.6_1_80,2414.9840,0
osm_footpaths,KEN.30.6_1_80,2713.7675,0
osm_footpaths,KEN.30.6_1_80,2884.9932,0.013131
