method,block,road_length_m,benefit
greedy_arterial_repulsion,KEN.30.6_1_80,0.0000,0
greedy_arterial_repulsion,KEN.30.6_1_80,608.9201,1.83409e-14
greedy_arterial_repulsion,KEN.30.6_1_80,1551.7185,0.100827
greedy_arterial_repulsion,KEN.30.6_1_80,1893.1139,0.129492
greedy_arterial_repulsion,KEN.30.6_1_80,2208.7473,0.151611
greedy_arterial_repulsion,KEN.30.6_1_80,3074.6511,0.161743
greedy_arterial_repulsion,KEN.30.6_1_80,3816.3083,0.195489
greedy_arterial_repulsion,KEN.30.6_1_80,4148.8538,0.195489
greedy_arterial_repulsion,KEN.30.6_1_80,4892.9294,0.318977
greedy_arterial_repulsion,KEN.30.6_1_80,5407.8364,0.322685
greedy_arterial_repulsion,KEN.30.6_1_80,6017.8710,0.32843
greedy_arterial_repulsion,KEN.30.6_1_80,6600.2116,0.328665
greedy_arterial_repulsion,KEN.30.6_1_80,7160.6273,0.328667
greedy_arterial_repulsion,KEN.30.6_1_80,7701.7851,0.329054
greedy_arterial_repulsion,KEN.30.6_1_80,8232.3079,0.330117
greedy_arterial_repulsion,KEN.30.6_1_80,8787.4554,0.330705
greedy_arterial_repulsion,KEN.30.6_1_80,9138.8473,0.330705
greedy_arterial_repulsion,KEN.30.6_1_80,9899.4445,0.337205
greedy_arterial_repulsion,KEN.30.6_1_80,10460.9188,0.339681
greedy_arterial_repulsion,KEN.30.6_1_80,11018.6949,0.340806
clearance_looped,KEN.30.6_1_80,0.0000,0
clearance_looped,KEN.30.6_1_80,439.2545,2.56271e-14
clearance_looped,KEN.30.6_1_80,894.0319,2.17099e-14
clearance_looped,KEN.30.6_1_80,1393.9044,0.00312771
clearance_looped,KEN.30.6_1_80,1846.7989,0.00328009
clearance_looped,KEN.30.6_1_80,2355.4042,0.00311877
clearance_looped,KEN.30.6_1_80,2822.7077,0.00349392
clearance_looped,KEN.30.6_1_80,3224.1403,0.00417365
clearance_looped,KEN.30.6_1_80,3758.7099,0.00451039
clearance_looped,KEN.30.6_1_80,4205.3390,0.00571992
clearance_looped,KEN.30.6_1_80,4652.7873,0.00767003
clearance_looped,KEN.30.6_1_80,5153.3394,0.00745392
clearance_looped,KEN.30.6_1_80,5632.1313,0.0189642
clearance_looped,KEN.30.6_1_80,6055.0524,0.0171801
clearance_looped,KEN.30.6_1_80,6569.8885,0.0273238
clearance_looped,KEN.30.6_1_80,7059.2754,0.0505444
clearance_looped,KEN.30.6_1_80,7492.2966,0.0690338
clearance_looped,KEN.30.6_1_80,7955.5848,0.0791995
clearance_looped,KEN.30.6_1_80,8472.6645,0.130989
clearance_looped,KEN.30.6_1_80,8945.3933,0.164944
clearance_looped,KEN.30.6_1_80,9429.0563,0.191092
euclidean_grid,KEN.30.6_1_80,0.0000,0
euclidean_grid,KEN.30.6_1_80,337.9957,0
euclidean_grid,KEN.30.6_1_80,1207.2551,0
euclidean_grid,KEN.30.6_1_80,1360.8239,0
euclidean_grid,KEN.30.6_1_80,2528.8699,0
euclidean_grid,KEN.30.6_1_80,3141.8662,0
euclidean_grid,KEN.30.6_1_80,3757.0456,0.0270352
euclidean_grid,KEN.30.6_1_80,4120.1427,0.0268614
euclidean_grid,KEN.30.6_1_80,5017.5158,0.104805
euclidean_grid,KEN.30.6_1_80,5361.5998,0.104738
euclidean_grid,KEN.30.6_1_80,6339.4585,0.153901
euclidean_grid,KEN.30.6_1_80,6716.4845,0.15287
euclidean_grid,KEN.30.6_1_80,7621.1458,0.163964
euclidean_grid,KEN.30.6_1_80,8242.7443,0.165019
euclidean_grid,KEN.30.6_1_80,9248.4673,0.249823
euclidean_grid,KEN.30.6_1_80,10148.9732,0.263484
euclidean_grid,KEN.30.6_1_80,10753.8052,0.313676
euclidean_grid,KEN.30.6_1_80,11420.6259,0.34418
euclidean_grid,KEN.30.6_1_80,11940.0167,0.353204
euclidean_grid,KEN.30.6_1_80,12731.3200,0.396358
osm_footpaths,KEN.30.6_1_80,0.0000,0
osm_footpaths,KEN.30.6_1_80,95.7625,1.11022e-18
osm_footpaths,KEN.30.6_1_80,327.8018,3.21965e-17
osm_footpaths,KEN.30.6_1_80,664.6764,8.59091e-15
osm_footpaths,KEN.30.6_1_80,734.7365,8.43769e-17
osm_footpaths,KEN.30.6_1_80,1042.0649,1.17684e-16
osm_footpaths,KEN.30.6_1_80,1275.1273,1.17018e-16
osm_footpaths,KEN.30.6_1_80,1405.6116,1.48548e-16
osm_footpaths,KEN.30.6_1_80,1572.3391,0.00612423
osm_footpaths,KEN.30.6_1_80,1752.5407,0.00612423
osm_footpaths,KEN.30.6_1_80,2032.7131,0.00612423
osm_footpaths,KEN.30.6_1_80,2224.7205,0.00612423
osm_footpaths,KEN.30.6_1_80,2414.9840,0.00642103
osm_footpaths,KEN.30.6_1_80,2713.7675,0.00642103
osm_footpaths,KEN.30.6_1_80,2884.9932,0.00663434
