method,block,road_length_m,displacement
clearance,KEN.30.6_1_109,0.0000,0.0000
clearance,KEN.30.6_1_109,311.6807,28.2213
clearance,KEN.30.6_1_109,630.7151,48.2940
clearance,KEN.30.6_1_109,1004.2904,83.2019
clearance,KEN.30.6_1_109,1347.1442,123.8927
clearance,KEN.30.6_1_109,1709.5442,145.5277
clearance,KEN.30.6_1_109,2017.5110,169.8830
clearance,KEN.30.6_1_109,2428.3935,198.2232
clearance,KEN.30.6_1_109,2751.5818,217.9599
clearance,KEN.30.6_1_109,3122.8431,245.6469
clearance,KEN.30.6_1_109,3442.7499,272.0353
clearance,KEN.30.6_1_109,3790.8784,299.6200
clearance,KEN.30.6_1_109,4149.2564,317.5990
clearance,KEN.30.6_1_109,4467.0174,337.1606
clearance,KEN.30.6_1_109,4845.3434,367.9753
clearance,KEN.30.6_1_109,5198.0589,399.0307
clearance,KEN.30.6_1_109,5550.9294,414.0577
clearance,KEN.30.6_1_109,5896.8772,439.0430
clearance,KEN.30.6_1_109,6251.4411,472.7044
clearance,KEN.30.6_1_109,6567.8175,493.7808
clearance,KEN.30.6_1_109,6947.7839,521.9257
greedy_arterial_buildable,KEN.30.6_1_109,0.0000,0.0000
greedy_arterial_buildable,KEN.30.6_1_109,758.9062,29.1160
greedy_arterial_buildable,KEN.30.6_1_109,954.2699,46.0854
greedy_arterial_buildable,KEN.30.6_1_109,1117.5374,59.7783
greedy_arterial_buildable,KEN.30.6_1_109,1375.0373,77.5091
greedy_arterial_buildable,KEN.30.6_1_109,1619.0599,95.4748
greedy_arterial_buildable,KEN.30.6_1_109,2143.6765,105.6103
greedy_arterial_buildable,KEN.30.6_1_109,2220.5329,109.3274
greedy_arterial_buildable,KEN.30.6_1_109,2487.0298,116.2525
greedy_arterial_buildable,KEN.30.6_1_109,2585.7986,119.7274
greedy_arterial_buildable,KEN.30.6_1_109,2779.3750,122.6253
greedy_arterial_buildable,KEN.30.6_1_109,3052.5108,134.5233
greedy_arterial_buildable,KEN.30.6_1_109,3164.5367,137.1026
greedy_arterial_buildable,KEN.30.6_1_109,3350.0021,142.7543
greedy_arterial_buildable,KEN.30.6_1_109,3594.9267,151.9464
clearance_looped,KEN.30.6_1_109,0.0000,0.0000
clearance_looped,KEN.30.6_1_109,404.5583,35.2284
clearance_looped,KEN.30.6_1_109,879.9390,75.8372
clearance_looped,KEN.30.6_1_109,1286.4998,118.3519
clearance_looped,KEN.30.6_1_109,1763.1904,151.6487
clearance_looped,KEN.30.6_1_109,2251.8940,192.1708
clearance_looped,KEN.30.6_1_109,2695.6913,215.4245
clearance_looped,KEN.30.6_1_109,3123.1615,253.4026
clearance_looped,KEN.30.6_1_109,3558.0947,283.3097
clearance_looped,KEN.30.6_1_109,4015.6327,316.5054
clearance_looped,KEN.30.6_1_109,4490.3429,334.7094
clearance_looped,KEN.30.6_1_109,4945.4544,371.2262
clearance_looped,KEN.30.6_1_109,5376.4968,385.4887
clearance_looped,KEN.30.6_1_109,5822.2664,424.7452
clearance_looped,KEN.30.6_1_109,6273.9846,455.7281
clearance_looped,KEN.30.6_1_109,6745.5137,485.7000
clearance_looped,KEN.30.6_1_109,7208.3309,520.3157
clearance_looped,KEN.30.6_1_109,7628.5305,547.0452
clearance_looped,KEN.30.6_1_109,8081.4386,565.3848
clearance_looped,KEN.30.6_1_109,8517.3593,583.1316
clearance_looped,KEN.30.6_1_109,9012.5059,607.2105
euclidean_grid,KEN.30.6_1_109,0.0000,0.0000
euclidean_grid,KEN.30.6_1_109,2291.7028,180.8730
euclidean_grid,KEN.30.6_1_109,4660.0734,331.1670
euclidean_grid,KEN.30.6_1_109,6815.1419,430.7880
euclidean_grid,KEN.30.6_1_109,9281.0259,514.9504
euclidean_grid,KEN.30.6_1_109,11598.9880,666.6032
euclidean_grid,KEN.30.6_1_109,13887.3820,848.1129
euclidean_grid,KEN.30.6_1_109,16237.3858,980.7144
euclidean_grid,KEN.30.6_1_109,18307.8826,1045.6905
euclidean_grid,KEN.30.6_1_109,20939.4618,1087.9248
euclidean_grid,KEN.30.6_1_109,23135.5525,1171.1390
euclidean_grid,KEN.30.6_1_109,25624.6586,1256.5810
euclidean_grid,KEN.30.6_1_109,27814.8390,1269.4856
euclidean_grid,KEN.30.6_1_109,30238.5283,1329.3118
euclidean_grid,KEN.30.6_1_109,32366.4125,1426.1536
euclidean_grid,KEN.30.6_1_109,34670.8800,1559.0081
euclidean_grid,KEN.30.6_1_109,37153.7750,1660.8566
euclidean_grid,KEN.30.6_1_109,39599.8530,1772.6657
euclidean_grid,KEN.30.6_1_109,41908.8266,1930.9189
euclidean_grid,KEN.30.6_1_109,44289.2755,2084.1737
euclidean_grid,KEN.30.6_1_109,46624.8646,2233.5882
osm_footpaths,KEN.30.6_1_109,0.0000,0.0000
osm_footpaths,KEN.30.6_1_109,194.9610,6.0492
osm_footpaths,KEN.30.6_1_109,613.9231,7.8783
osm_footpaths,KEN.30.6_1_109,817.7685,13.3151
osm_footpaths,KEN.30.6_1_109,960.0722,18.5929
osm_footpaths,KEN.30.6_1_109,1080.9080,19.7795
osm_footpaths,KEN.30.6_1_109,1260.7342,37.4692
osm_footpaths,KEN.30.6_1_109,1417.1156,39.7378
osm_footpaths,KEN.30.6_1_109,1643.3431,44.2364
osm_footpaths,KEN.30.6_1_109,1896.5801,52.1693
osm_footpaths,KEN.30.6_1_109,1988.7314,59.2235
osm_footpaths,KEN.30.6_1_109,2111.4905,62.3091
osm_footpaths,KEN.30.6_1_109,2294.7592,64.4774
osm_footpaths,KEN.30.6_1_109,2427.0810,64.9445
