method,block,road_length_m,benefit
clearance,KEN.30.6_1_109,0.0000,0
clearance,KEN.30.6_1_109,311.6807,0.240525
clearance,KEN.30.6_1_109,630.7151,0.337505
clearance,KEN.30.6_1_109,1004.2904,0.413897
clearance,KEN.30.6_1_109,1347.1442,0.485293
clearance,KEN.30.6_1_109,1709.5442,0.528969
clearance,KEN.30.6_1_109,2017.5110,0.566405
clearance,KEN.30.6_1_109,2428.3935,0.593735
clearance,KEN.30.6_1_109,2751.5818,0.616107
clearance,KEN.30.6_1_109,3122.8431,0.647982
clearance,KEN.30.6_1_109,3442.7499,0.664101
clearance,KEN.30.6_1_109,3790.8784,0.677635
clearance,KEN.30.6_1_109,4149.2564,0.688281
clearance,KEN.30.6_1_109,4467.0174,0.703973
clearance,KEN.30.6_1_109,4845.3434,0.719917
clearance,KEN.30.6_1_109,5198.0589,0.734442
clearance,KEN.30.6_1_109,5550.9294,0.744975
clearance,KEN.30.6_1_109,5896.8772,0.758257
clearance,KEN.30.6_1_109,6251.4411,0.767974
clearance,KEN.30.6_1_109,6567.8175,0.776109
clearance,KEN.30.6_1_109,6947.7839,0.78599
greedy_arterial_buildable,KEN.30.6_1_109,0.0000,0
greedy_arterial_buildable,KEN.30.6_1_109,758.9062,0.0795932
greedy_arterial_buildable,KEN.30.6_1_109,954.2699,0.234097
greedy_arterial_buildable,KEN.30.6_1_109,1117.5374,0.282092
greedy_arterial_buildable,KEN.30.6_1_109,1375.0373,0.320281
greedy_arterial_buildable,KEN.30.6_1_109,1619.0599,0.375971
greedy_arterial_buildable,KEN.30.6_1_109,2143.6765,0.389643
greedy_arterial_buildable,KEN.30.6_1_109,2220.5329,0.391149
greedy_arterial_buildable,KEN.30.6_1_109,2487.0298,0.403377
greedy_arterial_buildable,KEN.30.6_1_109,2585.7986,0.406315
greedy_arterial_buildable,KEN.30.6_1_109,2779.3750,0.413031
greedy_arterial_buildable,KEN.30.6_1_109,3052.5108,0.417325
greedy_arterial_buildable,KEN.30.6_1_109,3164.5367,0.420426
greedy_arterial_buildable,KEN.30.6_1_109,3350.0021,0.421254
greedy_arterial_buildable,KEN.30.6_1_109,3594.9267,0.421894
osm_footpaths,KEN.30.6_1_109,0.0000,0
osm_footpaths,KEN.30.6_1_109,194.9610,0
osm_footpaths,KEN.30.6_1_109,613.9231,0
osm_footpaths,KEN.30.6_1_109,817.7685,7.53248e-05
osm_footpaths,KEN.30.6_1_109,960.0722,0.000175758
osm_footpaths,KEN.30.6_1_109,1080.9080,0.000527274
osm_footpaths,KEN.30.6_1_109,1260.7342,0.000527274
osm_footpaths,KEN.30.6_1_109,1417.1156,0.00345239
osm_footpaths,KEN.30.6_1_109,1643.3431,0.0102567
osm_footpaths,KEN.30.6_1_109,1896.5801,0.0102567
osm_footpaths,KEN.30.6_1_109,1988.7314,0.0102567
osm_footpaths,KEN.30.6_1_109,2111.4905,0.0102567
osm_footpaths,KEN.30.6_1_109,2294.7592,0.0102567
osm_footpaths,KEN.30.6_1_109,2427.0810,0.0102567
