method,block,displacement,permeability
greedy_arterial_repulsion,KEN.30.6_1_109,0.0000,0
greedy_arterial_repulsion,KEN.30.6_1_109,0.0057,0.0560307
greedy_arterial_repulsion,KEN.30.6_1_109,0.0090,0.248405
greedy_arterial_repulsion,KEN.30.6_1_109,0.0126,0.364272
greedy_arterial_repulsion,KEN.30.6_1_109,0.0146,0.376037
greedy_arterial_repulsion,KEN.30.6_1_109,0.0159,0.391989
greedy_arterial_repulsion,KEN.30.6_1_109,0.0165,0.392582
greedy_arterial_repulsion,KEN.30.6_1_109,0.0171,0.396037
greedy_arterial_repulsion,KEN.30.6_1_109,0.0178,0.39786
greedy_arterial_repulsion,KEN.30.6_1_109,0.0197,0.400657
greedy_arterial_repulsion,KEN.30.6_1_109,0.0202,0.400907
greedy_arterial_repulsion,KEN.30.6_1_109,0.0210,0.401543
greedy_arterial_repulsion,KEN.30.6_1_109,0.0219,0.401921
greedy_arterial_repulsion,KEN.30.6_1_109,0.0227,0.401938
clearance_looped,KEN.30.6_1_109,0.0000,0
clearance_looped,KEN.30.6_1_109,0.0069,0.39
clearance_looped,KEN.30.6_1_109,0.0149,0.501467
clearance_looped,KEN.30.6_1_109,0.0233,0.551581
clearance_looped,KEN.30.6_1_109,0.0298,0.610522
clearance_looped,KEN.30.6_1_109,0.0378,0.655325
clearance_looped,KEN.30.6_1_109,0.0424,0.685882
clearance_looped,KEN.30.6_1_109,0.0498,0.721706
clearance_looped,KEN.30.6_1_109,0.0557,0.742338
clearance_looped,KEN.30.6_1_109,0.0623,0.758988
clearance_looped,KEN.30.6_1_109,0.0658,0.774019
clearance_looped,KEN.30.6_1_109,0.0730,0.787519
clearance_looped,KEN.30.6_1_109,0.0758,0.794774
clearance_looped,KEN.30.6_1_109,0.0835,0.805084
clearance_looped,KEN.30.6_1_109,0.0896,0.813611
clearance_looped,KEN.30.6_1_109,0.0955,0.819854
clearance_looped,KEN.30.6_1_109,0.1023,0.829134
clearance_looped,KEN.30.6_1_109,0.1076,0.834939
clearance_looped,KEN.30.6_1_109,0.1112,0.839052
clearance_looped,KEN.30.6_1_109,0.1147,0.841103
clearance_looped,KEN.30.6_1_109,0.1194,0.845747
euclidean_grid,KEN.30.6_1_109,0.0000,0
euclidean_grid,KEN.30.6_1_109,0.0064,0.115984
euclidean_grid,KEN.30.6_1_109,0.0124,0.140539
euclidean_grid,KEN.30.6_1_109,0.0211,0.214159
euclidean_grid,KEN.30.6_1_109,0.0256,0.219263
euclidean_grid,KEN.30.6_1_109,0.0323,0.323085
euclidean_grid,KEN.30.6_1_109,0.0385,0.332706
euclidean_grid,KEN.30.6_1_109,0.0477,0.503869
euclidean_grid,KEN.30.6_1_109,0.0507,0.514983
euclidean_grid,KEN.30.6_1_109,0.0542,0.530347
euclidean_grid,KEN.30.6_1_109,0.0594,0.550255
euclidean_grid,KEN.30.6_1_109,0.0600,0.550319
euclidean_grid,KEN.30.6_1_109,0.0708,0.566624
euclidean_grid,KEN.30.6_1_109,0.0723,0.567708
euclidean_grid,KEN.30.6_1_109,0.0820,0.67725
euclidean_grid,KEN.30.6_1_109,0.0904,0.735944
euclidean_grid,KEN.30.6_1_109,0.0972,0.75073
euclidean_grid,KEN.30.6_1_109,0.1042,0.757121
euclidean_grid,KEN.30.6_1_109,0.1127,0.8128
euclidean_grid,KEN.30.6_1_109,0.1179,0.823977
osm_footpaths,KEN.30.6_1_109,0.0000,0
osm_footpaths,KEN.30.6_1_109,0.0012,0.0140795
osm_footpaths,KEN.30.6_1_109,0.0015,0.0140795
osm_footpaths,KEN.30.6_1_109,0.0026,0.195345
osm_footpaths,KEN.30.6_1_109,0.0037,0.196356
osm_footpaths,KEN.30.6_1_109,0.0039,0.196666
osm_footpaths,KEN.30.6_1_109,0.0074,0.255408
osm_footpaths,KEN.30.6_1_109,0.0078,0.258495
osm_footpaths,KEN.30.6_1_109,0.0087,0.262798
osm_footpaths,KEN.30.6_1_109,0.0103,0.291187
osm_footpaths,KEN.30.6_1_109,0.0116,0.302933
osm_footpaths,KEN.30.6_1_109,0.0123,0.303407
osm_footpaths,KEN.30.6_1_109,0.0127,0.307566
osm_footpaths,KEN.30.6_1_109,0.0128,0.307901
